#    L    TT             EE             BB             TE          
   135   0.362710E+04   0.105089E+01   0.523022E-02  -0.404424E+02
   136   0.365911E+04   0.105259E+01   0.531258E-02  -0.407595E+02
   137   0.369112E+04   0.105386E+01   0.539575E-02  -0.410597E+02
   138   0.372304E+04   0.105463E+01   0.547974E-02  -0.413416E+02
   139   0.375473E+04   0.105505E+01   0.556456E-02  -0.416046E+02
   140   0.378649E+04   0.105489E+01   0.565021E-02  -0.418493E+02
   141   0.381803E+04   0.105423E+01   0.573671E-02  -0.420736E+02
   142   0.384955E+04   0.105314E+01   0.582405E-02  -0.422784E+02
   143   0.388101E+04   0.105163E+01   0.591224E-02  -0.424636E+02
   144   0.391223E+04   0.104961E+01   0.600130E-02  -0.426286E+02
   145   0.394331E+04   0.104725E+01   0.609122E-02  -0.427726E+02
   146   0.397447E+04   0.104431E+01   0.618202E-02  -0.428958E+02
   147   0.400526E+04   0.104103E+01   0.627369E-02  -0.429967E+02
   148   0.403590E+04   0.103725E+01   0.636625E-02  -0.430768E+02
   149   0.406647E+04   0.103304E+01   0.645971E-02  -0.431347E+02
   150   0.409675E+04   0.102849E+01   0.655406E-02  -0.431682E+02
   151   0.412689E+04   0.102351E+01   0.664931E-02  -0.431804E+02
   152   0.415674E+04   0.101804E+01   0.674547E-02  -0.431697E+02
   153   0.418645E+04   0.101222E+01   0.684254E-02  -0.431339E+02
   154   0.421594E+04   0.100606E+01   0.694053E-02  -0.430753E+02
   155   0.424522E+04   0.999542E+00   0.703944E-02  -0.429932E+02
   156   0.427412E+04   0.992680E+00   0.713928E-02  -0.428875E+02
   157   0.430296E+04   0.985469E+00   0.724004E-02  -0.427567E+02
   158   0.433150E+04   0.977985E+00   0.734173E-02  -0.426016E+02
   159   0.435975E+04   0.970077E+00   0.744436E-02  -0.424223E+02
   160   0.438778E+04   0.961896E+00   0.754792E-02  -0.422172E+02
   161   0.441558E+04   0.953514E+00   0.765241E-02  -0.419878E+02
   162   0.444309E+04   0.944783E+00   0.775785E-02  -0.417342E+02
   163   0.447045E+04   0.935778E+00   0.786422E-02  -0.414548E+02
   164   0.449736E+04   0.926571E+00   0.797154E-02  -0.411511E+02
   165   0.452413E+04   0.917090E+00   0.807979E-02  -0.408209E+02
   166   0.455059E+04   0.907481E+00   0.818898E-02  -0.404658E+02
   167   0.457684E+04   0.897523E+00   0.829910E-02  -0.400864E+02
   168   0.460263E+04   0.887586E+00   0.841017E-02  -0.396806E+02
   169   0.462812E+04   0.877373E+00   0.852216E-02  -0.392483E+02
   170   0.465331E+04   0.867106E+00   0.863508E-02  -0.387911E+02
   171   0.467805E+04   0.856786E+00   0.874894E-02  -0.383066E+02
   172   0.470241E+04   0.846338E+00   0.886371E-02  -0.377965E+02
   173   0.472632E+04   0.835762E+00   0.897941E-02  -0.372607E+02
   174   0.474993E+04   0.825355E+00   0.909602E-02  -0.366992E+02
   175   0.477316E+04   0.814818E+00   0.921354E-02  -0.361112E+02
   176   0.479586E+04   0.804376E+00   0.933197E-02  -0.354969E+02
   177   0.481819E+04   0.793952E+00   0.945130E-02  -0.348576E+02
   178   0.484006E+04   0.783769E+00   0.957152E-02  -0.341920E+02
   179   0.486148E+04   0.773529E+00   0.969263E-02  -0.335001E+02
   180   0.488260E+04   0.763453E+00   0.981462E-02  -0.327832E+02
   181   0.490320E+04   0.753541E+00   0.993748E-02  -0.320416E+02
   182   0.492336E+04   0.743866E+00   0.100612E-01  -0.312737E+02
   183   0.494299E+04   0.734354E+00   0.101858E-01  -0.304809E+02
   184   0.496225E+04   0.725077E+00   0.103112E-01  -0.296627E+02
   185   0.498107E+04   0.716182E+00   0.104375E-01  -0.288212E+02
   186   0.499908E+04   0.707529E+00   0.105646E-01  -0.279535E+02
   187   0.501694E+04   0.699257E+00   0.106926E-01  -0.270611E+02
   188   0.503428E+04   0.691350E+00   0.108213E-01  -0.261455E+02
   189   0.505104E+04   0.683845E+00   0.109509E-01  -0.252052E+02
   190   0.506766E+04   0.676792E+00   0.110813E-01  -0.242426E+02
   191   0.508339E+04   0.670213E+00   0.112124E-01  -0.232545E+02
   192   0.509877E+04   0.664130E+00   0.113443E-01  -0.222433E+02
   193   0.511355E+04   0.658585E+00   0.114770E-01  -0.212106E+02
   194   0.512798E+04   0.653608E+00   0.116105E-01  -0.201540E+02
   195   0.514183E+04   0.649234E+00   0.117447E-01  -0.190758E+02
   196   0.515510E+04   0.645500E+00   0.118796E-01  -0.179753E+02
   197   0.516794E+04   0.642450E+00   0.120153E-01  -0.168541E+02
   198   0.518027E+04   0.640104E+00   0.121517E-01  -0.157113E+02
   199   0.519210E+04   0.638499E+00   0.122888E-01  -0.145478E+02
   200   0.520343E+04   0.637663E+00   0.124266E-01  -0.133642E+02
   201   0.521418E+04   0.637655E+00   0.125651E-01  -0.121600E+02
   202   0.522444E+04   0.638479E+00   0.127042E-01  -0.109365E+02
   203   0.523412E+04   0.640193E+00   0.128440E-01  -0.969305E+01
   204   0.524315E+04   0.642818E+00   0.129845E-01  -0.843254E+01
   205   0.525168E+04   0.646394E+00   0.131256E-01  -0.715275E+01
   206   0.525956E+04   0.650956E+00   0.132674E-01  -0.585493E+01
   207   0.526695E+04   0.656525E+00   0.134097E-01  -0.453952E+01
   208   0.527361E+04   0.663151E+00   0.135527E-01  -0.320701E+01
   209   0.527970E+04   0.670852E+00   0.136962E-01  -0.185776E+01
   210   0.528522E+04   0.679679E+00   0.138404E-01  -0.492668E+00
   211   0.529016E+04   0.689659E+00   0.139851E-01   0.888240E+00
   212   0.529439E+04   0.700819E+00   0.141304E-01   0.228404E+01
   213   0.529811E+04   0.713201E+00   0.142762E-01   0.369478E+01
   214   0.530119E+04   0.726795E+00   0.144225E-01   0.511928E+01
   215   0.530370E+04   0.741793E+00   0.145694E-01   0.655681E+01
   216   0.530557E+04   0.758005E+00   0.147167E-01   0.800790E+01
   217   0.530693E+04   0.775585E+00   0.148646E-01   0.947056E+01
   218   0.530766E+04   0.794531E+00   0.150129E-01   0.109450E+02
   219   0.530781E+04   0.814840E+00   0.151617E-01   0.124323E+02
   220   0.530739E+04   0.836659E+00   0.153110E-01   0.139279E+02
   221   0.530640E+04   0.859909E+00   0.154607E-01   0.154341E+02
   222   0.530485E+04   0.884739E+00   0.156108E-01   0.169495E+02
   223   0.530257E+04   0.911070E+00   0.157613E-01   0.184747E+02
   224   0.529987E+04   0.938900E+00   0.159122E-01   0.200061E+02
   225   0.529654E+04   0.968375E+00   0.160634E-01   0.215466E+02
   226   0.529263E+04   0.999492E+00   0.162150E-01   0.230927E+02
   227   0.528808E+04   0.103225E+01   0.163670E-01   0.246457E+02
   228   0.528303E+04   0.106664E+01   0.165193E-01   0.262042E+02
   229   0.527742E+04   0.110275E+01   0.166718E-01   0.277667E+02
   230   0.527117E+04   0.114056E+01   0.168247E-01   0.293341E+02
   231   0.526427E+04   0.118015E+01   0.169778E-01   0.309055E+02
   232   0.525688E+04   0.122143E+01   0.171312E-01   0.324795E+02
   233   0.524893E+04   0.126464E+01   0.172848E-01   0.340546E+02
   234   0.524026E+04   0.130962E+01   0.174386E-01   0.356317E+02
   235   0.523110E+04   0.135645E+01   0.175926E-01   0.372091E+02
   236   0.522129E+04   0.140511E+01   0.177468E-01   0.387870E+02
   237   0.521093E+04   0.145568E+01   0.179011E-01   0.403639E+02
   238   0.519999E+04   0.150823E+01   0.180555E-01   0.419398E+02
   239   0.518857E+04   0.156262E+01   0.182101E-01   0.435139E+02
   240   0.517643E+04   0.161891E+01   0.183647E-01   0.450841E+02
   241   0.516387E+04   0.167724E+01   0.185195E-01   0.466512E+02
   242   0.515075E+04   0.173748E+01   0.186742E-01   0.482143E+02
   243   0.513707E+04   0.179976E+01   0.188290E-01   0.497720E+02
   244   0.512282E+04   0.186400E+01   0.189838E-01   0.513251E+02
   245   0.510801E+04   0.193028E+01   0.191386E-01   0.528707E+02
   246   0.509271E+04   0.199860E+01   0.192933E-01   0.544102E+02
   247   0.507692E+04   0.206887E+01   0.194480E-01   0.559415E+02
   248   0.506057E+04   0.214147E+01   0.196026E-01   0.574645E+02
   249   0.504380E+04   0.221588E+01   0.197572E-01   0.589786E+02
   250   0.502647E+04   0.229253E+01   0.199116E-01   0.604822E+02
   251   0.500873E+04   0.237114E+01   0.200658E-01   0.619761E+02
   252   0.499035E+04   0.245191E+01   0.202199E-01   0.634590E+02
   253   0.497171E+04   0.253462E+01   0.203738E-01   0.649293E+02
   254   0.495250E+04   0.261957E+01   0.205276E-01   0.663871E+02
   255   0.493281E+04   0.270647E+01   0.206811E-01   0.678324E+02
   256   0.491270E+04   0.279567E+01   0.208343E-01   0.692653E+02
   257   0.489217E+04   0.288674E+01   0.209873E-01   0.706777E+02
   258   0.487116E+04   0.298004E+01   0.211401E-01   0.720822E+02
   259   0.484974E+04   0.307542E+01   0.212925E-01   0.734641E+02
   260   0.482797E+04   0.317289E+01   0.214446E-01   0.748382E+02
   261   0.480572E+04   0.327236E+01   0.215964E-01   0.761822E+02
   262   0.478298E+04   0.337405E+01   0.217479E-01   0.775186E+02
   263   0.476012E+04   0.347775E+01   0.218990E-01   0.788399E+02
   264   0.473670E+04   0.358352E+01   0.220497E-01   0.801388E+02
   265   0.471279E+04   0.369129E+01   0.222001E-01   0.814079E+02
   266   0.468862E+04   0.380127E+01   0.223500E-01   0.826695E+02
   267   0.466395E+04   0.391311E+01   0.224995E-01   0.839013E+02
   268   0.463895E+04   0.402716E+01   0.226486E-01   0.851183E+02
   269   0.461346E+04   0.414313E+01   0.227972E-01   0.863131E+02
   270   0.458777E+04   0.426108E+01   0.229454E-01   0.874858E+02
   271   0.456168E+04   0.438096E+01   0.230930E-01   0.886363E+02
   272   0.453539E+04   0.450304E+01   0.232403E-01   0.897574E+02
   273   0.450868E+04   0.462674E+01   0.233870E-01   0.908639E+02
   274   0.448171E+04   0.475264E+01   0.235332E-01   0.919335E+02
   275   0.445440E+04   0.488023E+01   0.236789E-01   0.929887E+02
   276   0.442689E+04   0.500972E+01   0.238240E-01   0.940071E+02
   277   0.439897E+04   0.514112E+01   0.239687E-01   0.950112E+02
   278   0.437086E+04   0.527435E+01   0.241128E-01   0.959786E+02
