#           k/h    P           
   0.330299E-01   0.221199E+05
   0.336972E-01   0.217230E+05
   0.343779E-01   0.213262E+05
   0.350724E-01   0.209304E+05
   0.357809E-01   0.205367E+05
   0.365038E-01   0.201467E+05
   0.372412E-01   0.197614E+05
   0.379935E-01   0.193821E+05
   0.387610E-01   0.190097E+05
   0.395440E-01   0.186448E+05
   0.403429E-01   0.182880E+05
   0.411579E-01   0.179396E+05
   0.419893E-01   0.176000E+05
   0.428375E-01   0.172699E+05
   0.437029E-01   0.169503E+05
   0.445858E-01   0.166425E+05
   0.454865E-01   0.163476E+05
   0.464053E-01   0.160665E+05
   0.473428E-01   0.157995E+05
   0.482992E-01   0.155453E+05
   0.492749E-01   0.153028E+05
   0.502703E-01   0.150709E+05
   0.512858E-01   0.148487E+05
   0.523219E-01   0.146350E+05
   0.533789E-01   0.144289E+05
   0.544572E-01   0.142294E+05
   0.555573E-01   0.140356E+05
   0.566796E-01   0.138462E+05
   0.578246E-01   0.136601E+05
   0.589927E-01   0.134760E+05
   0.601845E-01   0.132926E+05
   0.614003E-01   0.131080E+05
   0.626407E-01   0.129202E+05
   0.639061E-01   0.127275E+05
   0.651971E-01   0.125273E+05
   0.665142E-01   0.123168E+05
   0.678578E-01   0.120937E+05
   0.692287E-01   0.118585E+05
   0.706272E-01   0.116134E+05
   0.720539E-01   0.113607E+05
   0.735095E-01   0.110985E+05
   0.749945E-01   0.108224E+05
   0.765095E-01   0.105290E+05
   0.780551E-01   0.102210E+05
   0.796319E-01   0.990410E+04
   0.812406E-01   0.958296E+04
   0.828817E-01   0.926010E+04
   0.845561E-01   0.893738E+04
   0.862642E-01   0.861727E+04
   0.880068E-01   0.830286E+04
   0.897847E-01   0.799702E+04
   0.915985E-01   0.770269E+04
   0.934489E-01   0.742248E+04
   0.953367E-01   0.715869E+04
   0.972626E-01   0.691354E+04
   0.992274E-01   0.668896E+04
   0.101232E+00   0.648587E+04
   0.103277E+00   0.630424E+04
   0.105363E+00   0.614372E+04
   0.107492E+00   0.600219E+04
   0.109663E+00   0.587699E+04
   0.111879E+00   0.576487E+04
   0.114139E+00   0.566167E+04
   0.116445E+00   0.556334E+04
   0.118797E+00   0.546567E+04
   0.121197E+00   0.536469E+04
   0.123645E+00   0.525696E+04
   0.126143E+00   0.513953E+04
   0.128691E+00   0.501047E+04
   0.131291E+00   0.486868E+04
   0.133943E+00   0.471435E+04
   0.136649E+00   0.454872E+04
   0.139409E+00   0.437419E+04
   0.142226E+00   0.419399E+04
   0.145099E+00   0.401220E+04
   0.148030E+00   0.383318E+04
   0.151020E+00   0.366167E+04
   0.154071E+00   0.350197E+04
   0.157184E+00   0.335763E+04
   0.160359E+00   0.323069E+04
   0.163598E+00   0.312150E+04
   0.166903E+00   0.302854E+04
   0.170275E+00   0.294908E+04
   0.173715E+00   0.287953E+04
   0.177224E+00   0.281595E+04
   0.180804E+00   0.275422E+04
   0.184457E+00   0.269005E+04
   0.188183E+00   0.261958E+04
   0.191985E+00   0.254013E+04
   0.195863E+00   0.245110E+04
   0.199820E+00   0.235422E+04
   0.203856E+00   0.225279E+04
   0.207974E+00   0.215074E+04
   0.212176E+00   0.205191E+04
   0.216462E+00   0.195979E+04
   0.220835E+00   0.187714E+04
   0.225296E+00   0.180543E+04
   0.229847E+00   0.174436E+04
   0.234490E+00   0.169188E+04
   0.239227E+00   0.164477E+04
   0.244060E+00   0.159947E+04
   0.248990E+00   0.155264E+04
   0.254020E+00   0.150183E+04
   0.259152E+00   0.144623E+04
   0.264387E+00   0.138689E+04
   0.269728E+00   0.132614E+04
   0.275177E+00   0.126675E+04
   0.280736E+00   0.121127E+04
   0.286407E+00   0.116144E+04
   0.292193E+00   0.111773E+04
   0.298096E+00   0.107915E+04
   0.304118E+00   0.104370E+04
   0.310261E+00   0.100910E+04
   0.316529E+00   0.973522E+03
   0.322923E+00   0.936158E+03
   0.329447E+00   0.897435E+03
   0.336102E+00   0.858737E+03
   0.342892E+00   0.821706E+03
   0.349819E+00   0.787560E+03
   0.356885E+00   0.756638E+03
   0.364095E+00   0.728368E+03
   0.371450E+00   0.701634E+03
   0.378954E+00   0.675295E+03
   0.386609E+00   0.648653E+03
   0.394419E+00   0.621774E+03
   0.402387E+00   0.595399E+03
   0.410516E+00   0.570296E+03
   0.418809E+00   0.546871E+03
   0.427269E+00   0.525110E+03
   0.435901E+00   0.504480E+03
   0.444706E+00   0.484385E+03
   0.453690E+00   0.464571E+03
   0.462855E+00   0.445073E+03
   0.472206E+00   0.426256E+03
   0.481745E+00   0.408429E+03
   0.491477E+00   0.391583E+03
   0.501405E+00   0.375548E+03
   0.511534E+00   0.360047E+03
   0.521868E+00   0.344946E+03
   0.532411E+00   0.330330E+03
   0.543166E+00   0.316310E+03
   0.554139E+00   0.302975E+03
   0.565333E+00   0.290233E+03
   0.576753E+00   0.277986E+03
   0.588404E+00   0.266168E+03
   0.600291E+00   0.254784E+03
   0.612418E+00   0.243858E+03
   0.624789E+00   0.233403E+03
   0.637411E+00   0.223395E+03
   0.650288E+00   0.213802E+03
   0.663424E+00   0.204597E+03
   0.676826E+00   0.195764E+03
   0.690499E+00   0.187289E+03
   0.704448E+00   0.179159E+03
   0.718679E+00   0.171361E+03
   0.733197E+00   0.163884E+03
   0.748009E+00   0.156715E+03
   0.763119E+00   0.149844E+03
   0.778536E+00   0.143258E+03
   0.794263E+00   0.136947E+03
   0.810308E+00   0.130901E+03
   0.826677E+00   0.125109E+03
   0.843378E+00   0.119562E+03
   0.860415E+00   0.114251E+03
   0.877797E+00   0.109165E+03
   0.895529E+00   0.104296E+03
   0.913620E+00   0.996356E+02
   0.932076E+00   0.951756E+02
   0.950906E+00   0.909075E+02
   0.970115E+00   0.868237E+02
   0.989713E+00   0.829165E+02
   0.100971E+01   0.791785E+02
   0.103010E+01   0.756030E+02
   0.105091E+01   0.721830E+02
   0.107214E+01   0.689122E+02
   0.109380E+01   0.657844E+02
   0.111590E+01   0.627936E+02
   0.113844E+01   0.599340E+02
   0.116144E+01   0.572002E+02
   0.118490E+01   0.545868E+02
   0.120884E+01   0.520888E+02
   0.123326E+01   0.497013E+02
   0.125817E+01   0.474197E+02
   0.128359E+01   0.452394E+02
   0.130952E+01   0.431560E+02
   0.133597E+01   0.411655E+02
   0.136296E+01   0.392638E+02
   0.139049E+01   0.374471E+02
   0.141858E+01   0.357117E+02
   0.144724E+01   0.340541E+02
   0.147648E+01   0.324710E+02
   0.150630E+01   0.309590E+02
   0.153673E+01   0.295151E+02
   0.156778E+01   0.281363E+02
   0.159945E+01   0.268198E+02
   0.163176E+01   0.255629E+02
   0.166472E+01   0.243629E+02
   0.169835E+01   0.232174E+02
   0.173266E+01   0.221240E+02
   0.176766E+01   0.210804E+02
   0.180337E+01   0.200843E+02
   0.183980E+01   0.191339E+02
   0.187697E+01   0.182272E+02
   0.191489E+01   0.173622E+02
   0.195357E+01   0.165373E+02
   0.199304E+01   0.157507E+02
   0.203330E+01   0.150007E+02
   0.207437E+01   0.142857E+02
   0.211628E+01   0.136043E+02
   0.215903E+01   0.129548E+02
   0.220265E+01   0.123360E+02
   0.224714E+01   0.117464E+02
   0.229254E+01   0.111847E+02
   0.233885E+01   0.106497E+02
   0.238610E+01   0.101401E+02
   0.243430E+01   0.965487E+01
