#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.486763E-03   0.207794E+08   0.191628E+08   0.754775E+07   0.721638E+07   0.190816E+08   0.205012E+08   0.205079E+08   0.205032E+08  -0.462921E+00   0.979544E+07   0.979514E+07   0.204526E+03
   0.537423E-03   0.207681E+08   0.191521E+08   0.575473E+07   0.543441E+07   0.190530E+08   0.204899E+08   0.204967E+08   0.204914E+08  -0.462638E+00   0.978997E+07   0.978962E+07   0.213165E+03
   0.593356E-03   0.207546E+08   0.191394E+08   0.416547E+07   0.387407E+07   0.190187E+08   0.204765E+08   0.204834E+08   0.204776E+08  -0.462308E+00   0.978346E+07   0.978307E+07   0.219940E+03
   0.655111E-03   0.207386E+08   0.191245E+08   0.287737E+07   0.263286E+07   0.189775E+08   0.204606E+08   0.204676E+08   0.204613E+08  -0.461924E+00   0.977576E+07   0.977532E+07   0.224406E+03
   0.723293E-03   0.207198E+08   0.191068E+08   0.195276E+07   0.176904E+07   0.189283E+08   0.204418E+08   0.204490E+08   0.204423E+08  -0.461478E+00   0.976668E+07   0.976619E+07   0.226195E+03
   0.798570E-03   0.206977E+08   0.190861E+08   0.138977E+07   0.127174E+07   0.188696E+08   0.204197E+08   0.204271E+08   0.204201E+08  -0.460961E+00   0.975602E+07   0.975548E+07   0.225081E+03
   0.881683E-03   0.206717E+08   0.190618E+08   0.110645E+07   0.104610E+07   0.187998E+08   0.203938E+08   0.204014E+08   0.203941E+08  -0.460364E+00   0.974355E+07   0.974297E+07   0.221013E+03
   0.973446E-03   0.206414E+08   0.190336E+08   0.958499E+06   0.934994E+06   0.187172E+08   0.203637E+08   0.203715E+08   0.203639E+08  -0.459674E+00   0.972904E+07   0.972841E+07   0.214118E+03
   0.107476E-02   0.206062E+08   0.190008E+08   0.802010E+06   0.788178E+06   0.186199E+08   0.203285E+08   0.203367E+08   0.203288E+08  -0.458874E+00   0.971219E+07   0.971153E+07   0.204663E+03
   0.118662E-02   0.205654E+08   0.189629E+08   0.578174E+06   0.552446E+06   0.185056E+08   0.202878E+08   0.202963E+08   0.202880E+08  -0.457950E+00   0.969268E+07   0.969200E+07   0.192987E+03
   0.131011E-02   0.205181E+08   0.189191E+08   0.350433E+06   0.307214E+06   0.183724E+08   0.202408E+08   0.202496E+08   0.202409E+08  -0.456882E+00   0.967016E+07   0.966946E+07   0.179476E+03
   0.144647E-02   0.204636E+08   0.188688E+08   0.224700E+06   0.173726E+06   0.182185E+08   0.201865E+08   0.201958E+08   0.201865E+08  -0.455653E+00   0.964422E+07   0.964351E+07   0.164607E+03
   0.159701E-02   0.204010E+08   0.188109E+08   0.201381E+06  -0.224055E+06   0.180421E+08   0.201241E+08   0.201340E+08   0.201241E+08  -0.454240E+00   0.961443E+07   0.961372E+07   0.149026E+03
   0.176322E-02   0.203291E+08   0.187446E+08   0.162305E+06  -0.183148E+06   0.178415E+08   0.200526E+08   0.200631E+08   0.200526E+08  -0.452624E+00   0.958028E+07   0.957957E+07   0.133525E+03
   0.194673E-02   0.202470E+08   0.186688E+08   0.711339E+05  -0.149634E+06   0.176154E+08   0.199708E+08   0.199820E+08   0.199708E+08  -0.450777E+00   0.954126E+07   0.954057E+07   0.118863E+03
   0.214934E-02   0.201535E+08   0.185825E+08   0.374232E+05  -0.122182E+06   0.173630E+08   0.198777E+08   0.198897E+08   0.198777E+08  -0.448674E+00   0.949683E+07   0.949614E+07   0.105624E+03
   0.237304E-02   0.200472E+08   0.184845E+08   0.503242E+05  -0.997035E+05   0.170839E+08   0.197720E+08   0.197848E+08   0.197720E+08  -0.446286E+00   0.944639E+07   0.944572E+07   0.941930E+02
   0.262001E-02   0.199269E+08   0.183735E+08   0.150955E+05  -0.813016E+05   0.167780E+08   0.196524E+08   0.196661E+08   0.196524E+08  -0.443586E+00   0.938934E+07   0.938867E+07   0.846526E+02
   0.289270E-02   0.197914E+08   0.182483E+08   0.108463E+05  -0.662433E+05   0.164452E+08   0.195177E+08   0.195323E+08   0.195177E+08  -0.440544E+00   0.932505E+07   0.932439E+07   0.766696E+02
   0.319376E-02   0.196392E+08   0.181077E+08   0.421207E+04  -0.539264E+05   0.160852E+08   0.193664E+08   0.193820E+08   0.193664E+08  -0.437129E+00   0.925290E+07   0.925223E+07   0.696915E+02
   0.352615E-02   0.194689E+08   0.179504E+08  -0.374463E+04  -0.438569E+05   0.156971E+08   0.191973E+08   0.192139E+08   0.191973E+08  -0.433311E+00   0.917222E+07   0.917156E+07   0.631843E+02
   0.389314E-02   0.192792E+08   0.177752E+08  -0.970360E+04  -0.356295E+05   0.152798E+08   0.190090E+08   0.190267E+08   0.190090E+08  -0.429059E+00   0.908240E+07   0.908173E+07   0.569196E+02
   0.429833E-02   0.190687E+08   0.175807E+08  -0.190370E+04  -0.289116E+05   0.148319E+08   0.188000E+08   0.188189E+08   0.188000E+08  -0.424343E+00   0.898275E+07   0.898209E+07   0.510521E+02
   0.474569E-02   0.188361E+08   0.173658E+08  -0.501660E+04  -0.234302E+05   0.143541E+08   0.185691E+08   0.185892E+08   0.185691E+08  -0.419131E+00   0.887262E+07   0.887197E+07   0.458596E+02
   0.523960E-02   0.185797E+08   0.171289E+08  -0.683250E+04  -0.189612E+05   0.138462E+08   0.183149E+08   0.183361E+08   0.183149E+08  -0.413392E+00   0.875134E+07   0.875069E+07   0.413686E+02
   0.578492E-02   0.182983E+08   0.168687E+08  -0.400643E+04  -0.153209E+05   0.133076E+08   0.180358E+08   0.180583E+08   0.180358E+08  -0.407093E+00   0.861823E+07   0.861758E+07   0.373285E+02
   0.638700E-02   0.179909E+08   0.165845E+08  -0.433490E+04  -0.123589E+05   0.127077E+08   0.177309E+08   0.177547E+08   0.177309E+08  -0.400210E+00   0.847277E+07   0.847213E+07   0.335755E+02
   0.705173E-02   0.176549E+08   0.162738E+08  -0.339055E+04  -0.995068E+04   0.120944E+08   0.173978E+08   0.174230E+08   0.173978E+08  -0.392692E+00   0.831389E+07   0.831325E+07   0.302075E+02
   0.778565E-02   0.172894E+08   0.159358E+08  -0.402566E+04  -0.799523E+04   0.114551E+08   0.170356E+08   0.170622E+08   0.170356E+08  -0.384517E+00   0.814110E+07   0.814047E+07   0.272507E+02
   0.859596E-02   0.168930E+08   0.155689E+08  -0.377797E+04  -0.640949E+04   0.107987E+08   0.166429E+08   0.166707E+08   0.166429E+08  -0.375652E+00   0.795371E+07   0.795308E+07   0.245739E+02
   0.949059E-02   0.164641E+08   0.151720E+08  -0.266768E+04  -0.512542E+04   0.101259E+08   0.162182E+08   0.162472E+08   0.162182E+08  -0.366067E+00   0.775108E+07   0.775045E+07   0.221751E+02
   0.104783E-01   0.160016E+08   0.147438E+08  -0.255734E+04  -0.408726E+04   0.943593E+07   0.157604E+08   0.157904E+08   0.157604E+08  -0.355732E+00   0.753258E+07   0.753195E+07   0.200502E+02
   0.115689E-01   0.155040E+08   0.142829E+08  -0.186506E+04  -0.324933E+04   0.873420E+07   0.152679E+08   0.152990E+08   0.152679E+08  -0.344617E+00   0.729754E+07   0.729691E+07   0.181463E+02
