#    L    TT             EE             BB             TE          
   199   0.516847E+04   0.640277E+00   0.124438E-01  -0.158771E+02
   200   0.518033E+04   0.638518E+00   0.125834E-01  -0.147252E+02
   201   0.519162E+04   0.637531E+00   0.127237E-01  -0.135525E+02
   202   0.520243E+04   0.637323E+00   0.128647E-01  -0.123602E+02
   203   0.521267E+04   0.637950E+00   0.130064E-01  -0.111477E+02
   204   0.522228E+04   0.639431E+00   0.131488E-01  -0.991799E+01
   205   0.523140E+04   0.641811E+00   0.132918E-01  -0.866868E+01
   206   0.523989E+04   0.645122E+00   0.134355E-01  -0.740105E+01
   207   0.524788E+04   0.649387E+00   0.135798E-01  -0.611552E+01
   208   0.525517E+04   0.654653E+00   0.137248E-01  -0.481256E+01
   209   0.526189E+04   0.660941E+00   0.138703E-01  -0.349251E+01
   210   0.526805E+04   0.668301E+00   0.140165E-01  -0.215624E+01
   211   0.527365E+04   0.676761E+00   0.141633E-01  -0.803763E+00
   212   0.527854E+04   0.686347E+00   0.143106E-01   0.564012E+00
   213   0.528293E+04   0.697102E+00   0.144586E-01   0.194716E+01
   214   0.528670E+04   0.709017E+00   0.146070E-01   0.334453E+01
   215   0.528989E+04   0.722281E+00   0.147561E-01   0.475539E+01
   216   0.529246E+04   0.736707E+00   0.149056E-01   0.618031E+01
   217   0.529453E+04   0.752449E+00   0.150557E-01   0.761731E+01
   218   0.529596E+04   0.769504E+00   0.152063E-01   0.906666E+01
   219   0.529684E+04   0.787870E+00   0.153573E-01   0.105293E+02
   220   0.529715E+04   0.807694E+00   0.155089E-01   0.120010E+02
   221   0.529689E+04   0.828897E+00   0.156609E-01   0.134837E+02
   222   0.529608E+04   0.851627E+00   0.158133E-01   0.149763E+02
   223   0.529455E+04   0.875807E+00   0.159662E-01   0.164793E+02
   224   0.529261E+04   0.901435E+00   0.161195E-01   0.179892E+02
   225   0.529002E+04   0.928656E+00   0.162732E-01   0.195089E+02
   226   0.528688E+04   0.957468E+00   0.164272E-01   0.210348E+02
   227   0.528310E+04   0.987869E+00   0.165817E-01   0.225683E+02
   228   0.527883E+04   0.101986E+01   0.167364E-01   0.241081E+02
   229   0.527400E+04   0.105350E+01   0.168915E-01   0.256527E+02
   230   0.526853E+04   0.108880E+01   0.170469E-01   0.272029E+02
   231   0.526242E+04   0.112583E+01   0.172026E-01   0.287579E+02
   232   0.525582E+04   0.116451E+01   0.173586E-01   0.303163E+02
   233   0.524866E+04   0.120506E+01   0.175149E-01   0.318767E+02
   234   0.524078E+04   0.124733E+01   0.176713E-01   0.334398E+02
   235   0.523242E+04   0.129139E+01   0.178280E-01   0.350043E+02
   236   0.522342E+04   0.133724E+01   0.179849E-01   0.365700E+02
   237   0.521385E+04   0.138496E+01   0.181419E-01   0.381357E+02
   238   0.520372E+04   0.143460E+01   0.182991E-01   0.397013E+02
   239   0.519310E+04   0.148603E+01   0.184565E-01   0.412660E+02
   240   0.518177E+04   0.153931E+01   0.186139E-01   0.428279E+02
   241   0.517003E+04   0.159459E+01   0.187715E-01   0.443875E+02
   242   0.515772E+04   0.165172E+01   0.189291E-01   0.459442E+02
   243   0.514484E+04   0.171084E+01   0.190868E-01   0.474966E+02
   244   0.513141E+04   0.177189E+01   0.192445E-01   0.490455E+02
   245   0.511740E+04   0.183492E+01   0.194022E-01   0.505879E+02
   246   0.510291E+04   0.189993E+01   0.195599E-01   0.521252E+02
   247   0.508793E+04   0.196686E+01   0.197175E-01   0.536555E+02
   248   0.507238E+04   0.203607E+01   0.198751E-01   0.551786E+02
   249   0.505642E+04   0.210703E+01   0.200327E-01   0.566939E+02
   250   0.503990E+04   0.218019E+01   0.201901E-01   0.582000E+02
   251   0.502295E+04   0.225526E+01   0.203474E-01   0.596976E+02
   252   0.500537E+04   0.233244E+01   0.205046E-01   0.611852E+02
   253   0.498752E+04   0.241153E+01   0.206616E-01   0.626615E+02
   254   0.496911E+04   0.249282E+01   0.208185E-01   0.641265E+02
   255   0.495020E+04   0.257601E+01   0.209751E-01   0.655801E+02
   256   0.493088E+04   0.266147E+01   0.211316E-01   0.670225E+02
   257   0.491114E+04   0.274877E+01   0.212878E-01   0.684456E+02
   258   0.489091E+04   0.283827E+01   0.214437E-01   0.698619E+02
   259   0.487026E+04   0.292982E+01   0.215994E-01   0.712566E+02
   260   0.484926E+04   0.302343E+01   0.217548E-01   0.726448E+02
   261   0.482777E+04   0.311902E+01   0.219098E-01   0.740040E+02
   262   0.480579E+04   0.321681E+01   0.220646E-01   0.753567E+02
   263   0.478369E+04   0.331659E+01   0.222190E-01   0.766955E+02
   264   0.476101E+04   0.341843E+01   0.223730E-01   0.780129E+02
   265   0.473784E+04   0.352225E+01   0.225267E-01   0.793016E+02
   266   0.471440E+04   0.362828E+01   0.226800E-01   0.805840E+02
   267   0.469047E+04   0.373615E+01   0.228329E-01   0.818376E+02
   268   0.466618E+04   0.384623E+01   0.229854E-01   0.830776E+02
   269   0.464140E+04   0.395823E+01   0.231374E-01   0.842964E+02
   270   0.461642E+04   0.407221E+01   0.232890E-01   0.854941E+02
   271   0.459102E+04   0.418811E+01   0.234401E-01   0.866708E+02
   272   0.456542E+04   0.430622E+01   0.235908E-01   0.878191E+02
   273   0.453939E+04   0.442595E+01   0.237410E-01   0.889538E+02
   274   0.451309E+04   0.454790E+01   0.238907E-01   0.900528E+02
   275   0.448644E+04   0.467155E+01   0.240399E-01   0.911383E+02
   276   0.445959E+04   0.479711E+01   0.241886E-01   0.921881E+02
   277   0.443231E+04   0.492460E+01   0.243368E-01   0.932246E+02
   278   0.440483E+04   0.505393E+01   0.244844E-01   0.942254E+02
   279   0.437707E+04   0.518504E+01   0.246315E-01   0.951981E+02
   280   0.434904E+04   0.531792E+01   0.247780E-01   0.961576E+02
   281   0.432087E+04   0.545266E+01   0.249240E-01   0.970816E+02
   282   0.429228E+04   0.558895E+01   0.250695E-01   0.979776E+02
   283   0.426356E+04   0.572701E+01   0.252143E-01   0.988457E+02
   284   0.423463E+04   0.586678E+01   0.253586E-01   0.996858E+02
   285   0.420550E+04   0.600826E+01   0.255023E-01   0.100498E+03
   286   0.417609E+04   0.615130E+01   0.256454E-01   0.101275E+03
   287   0.414647E+04   0.629589E+01   0.257880E-01   0.102032E+03
   288   0.411671E+04   0.644205E+01   0.259299E-01   0.102753E+03
   289   0.408676E+04   0.658969E+01   0.260712E-01   0.103447E+03
   290   0.405666E+04   0.673868E+01   0.262119E-01   0.104113E+03
   291   0.402644E+04   0.688975E+01   0.263520E-01   0.104736E+03
   292   0.399578E+04   0.704179E+01   0.264914E-01   0.105340E+03
   293   0.396529E+04   0.719443E+01   0.266303E-01   0.105901E+03
   294   0.393451E+04   0.734915E+01   0.267685E-01   0.106442E+03
   295   0.390382E+04   0.750448E+01   0.269061E-01   0.106940E+03
   296   0.387284E+04   0.766190E+01   0.270430E-01   0.107412E+03
   297   0.384181E+04   0.781919E+01   0.271793E-01   0.107856E+03
   298   0.381056E+04   0.797856E+01   0.273149E-01   0.108257E+03
   299   0.377932E+04   0.813929E+01   0.274500E-01   0.108624E+03
   300   0.374795E+04   0.829988E+01   0.275843E-01   0.108957E+03
   301   0.371651E+04   0.846183E+01   0.277180E-01   0.109262E+03
   302   0.368508E+04   0.862439E+01   0.278511E-01   0.109540E+03
   303   0.365359E+04   0.878832E+01   0.279835E-01   0.109776E+03
   304   0.362203E+04   0.895361E+01   0.281152E-01   0.109970E+03
   305   0.359048E+04   0.911879E+01   0.282463E-01   0.110136E+03
   306   0.355886E+04   0.928461E+01   0.283767E-01   0.110268E+03
   307   0.352725E+04   0.945106E+01   0.285065E-01   0.110359E+03
   308   0.349565E+04   0.961965E+01   0.286356E-01   0.110429E+03
   309   0.346412E+04   0.978740E+01   0.287640E-01   0.110450E+03
   310   0.343253E+04   0.995506E+01   0.288918E-01   0.110443E+03
   311   0.340102E+04   0.101249E+02   0.290189E-01   0.110395E+03
   312   0.336959E+04   0.102938E+02   0.291454E-01   0.110319E+03
   313   0.333816E+04   0.104635E+02   0.292712E-01   0.110201E+03
