#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    36   0.109081E+04   0.187306E+01   0.101096E-02   0.187306E+01   0.379113E-01  -0.128074E-05   0.101096E-02  -0.128074E-05   0.142218E-06
    37   0.110681E+04   0.184745E+01   0.987171E-03   0.184745E+01   0.415484E-01  -0.106054E-05   0.987171E-03  -0.106054E-05   0.142138E-06
    38   0.112318E+04   0.180793E+01   0.964890E-03   0.180793E+01   0.454120E-01  -0.900118E-06   0.964890E-03  -0.900118E-06   0.142013E-06
    39   0.113990E+04   0.175724E+01   0.943800E-03   0.175724E+01   0.495135E-01  -0.785185E-06   0.943800E-03  -0.785185E-06   0.141845E-06
    40   0.115673E+04   0.169908E+01   0.923433E-03   0.169908E+01   0.538688E-01  -0.672910E-06   0.923433E-03  -0.672910E-06   0.141637E-06
    41   0.117376E+04   0.163590E+01   0.903419E-03   0.163590E+01   0.584958E-01  -0.532473E-06   0.903419E-03  -0.532473E-06   0.141389E-06
    42   0.119077E+04   0.156597E+01   0.883779E-03   0.156597E+01   0.633981E-01  -0.381090E-06   0.883779E-03  -0.381090E-06   0.141105E-06
    43   0.120790E+04   0.148654E+01   0.864632E-03   0.148654E+01   0.685759E-01  -0.247984E-06   0.864632E-03  -0.247984E-06   0.140788E-06
    44   0.122500E+04   0.139575E+01   0.846097E-03   0.139575E+01   0.740144E-01  -0.162379E-06   0.846097E-03  -0.162379E-06   0.140438E-06
    45   0.124243E+04   0.129180E+01   0.828295E-03   0.129180E+01   0.797092E-01  -0.153498E-06   0.828295E-03  -0.153498E-06   0.140060E-06
    46   0.126012E+04   0.117161E+01   0.811297E-03   0.117161E+01   0.856592E-01  -0.239414E-06   0.811297E-03  -0.239414E-06   0.139656E-06
    47   0.127792E+04   0.103673E+01   0.794990E-03   0.103673E+01   0.918624E-01  -0.393592E-06   0.794990E-03  -0.393592E-06   0.139227E-06
    48   0.129578E+04   0.892560E+00   0.779211E-03   0.892560E+00   0.983235E-01  -0.578349E-06   0.779211E-03  -0.578349E-06   0.138775E-06
    49   0.131377E+04   0.743884E+00   0.763800E-03   0.743884E+00   0.105025E+00  -0.755998E-06   0.763800E-03  -0.755998E-06   0.138301E-06
    50   0.133214E+04   0.588713E+00   0.748596E-03   0.588713E+00   0.111943E+00  -0.888856E-06   0.748596E-03  -0.888856E-06   0.137809E-06
    51   0.135066E+04   0.423288E+00   0.733493E-03   0.423288E+00   0.119047E+00  -0.949131E-06   0.733493E-03  -0.949131E-06   0.137298E-06
    52   0.136956E+04   0.242407E+00   0.718606E-03   0.242407E+00   0.126426E+00  -0.948601E-06   0.718606E-03  -0.948601E-06   0.136770E-06
    53   0.138845E+04   0.423560E-01   0.704105E-03   0.423560E-01   0.134226E+00  -0.908941E-06   0.704105E-03  -0.908941E-06   0.136227E-06
    54   0.140726E+04  -0.172609E+00   0.690162E-03  -0.172609E+00   0.142442E+00  -0.851823E-06   0.690162E-03  -0.851823E-06   0.135669E-06
