#    L    TT             EE             BB             TE             PP             TP             EP          
   176   0.476565E+04   0.804223E+00   0.000000E+00  -0.362858E+02   0.670735E-07   0.166225E-03  -0.633492E-06
   177   0.478834E+04   0.793523E+00   0.000000E+00  -0.356786E+02   0.667111E-07   0.164800E-03  -0.627676E-06
   178   0.481059E+04   0.783031E+00   0.000000E+00  -0.350451E+02   0.663517E-07   0.163393E-03  -0.621203E-06
   179   0.483241E+04   0.772447E+00   0.000000E+00  -0.343854E+02   0.659952E-07   0.162005E-03  -0.614097E-06
   180   0.485394E+04   0.761991E+00   0.000000E+00  -0.337010E+02   0.656416E-07   0.160634E-03  -0.606388E-06
   181   0.487496E+04   0.751662E+00   0.000000E+00  -0.329919E+02   0.652910E-07   0.159280E-03  -0.598101E-06
   182   0.489556E+04   0.741533E+00   0.000000E+00  -0.322565E+02   0.649431E-07   0.157943E-03  -0.589263E-06
   183   0.491564E+04   0.731525E+00   0.000000E+00  -0.314963E+02   0.645982E-07   0.156622E-03  -0.579902E-06
   184   0.493537E+04   0.721713E+00   0.000000E+00  -0.307107E+02   0.642560E-07   0.155317E-03  -0.570045E-06
   185   0.495467E+04   0.712242E+00   0.000000E+00  -0.299018E+02   0.639166E-07   0.154028E-03  -0.559718E-06
   186   0.497317E+04   0.702968E+00   0.000000E+00  -0.290667E+02   0.635799E-07   0.152754E-03  -0.548948E-06
   187   0.499153E+04   0.694032E+00   0.000000E+00  -0.282067E+02   0.632460E-07   0.151494E-03  -0.537764E-06
   188   0.500940E+04   0.685416E+00   0.000000E+00  -0.273236E+02   0.629147E-07   0.150248E-03  -0.526190E-06
   189   0.502669E+04   0.677155E+00   0.000000E+00  -0.264156E+02   0.625861E-07   0.149016E-03  -0.514255E-06
   190   0.504386E+04   0.669299E+00   0.000000E+00  -0.254851E+02   0.622602E-07   0.147797E-03  -0.501985E-06
   191   0.506016E+04   0.661868E+00   0.000000E+00  -0.245291E+02   0.619368E-07   0.146591E-03  -0.489408E-06
   192   0.507610E+04   0.654883E+00   0.000000E+00  -0.235498E+02   0.616160E-07   0.145397E-03  -0.476550E-06
   193   0.509148E+04   0.648385E+00   0.000000E+00  -0.225487E+02   0.612978E-07   0.144215E-03  -0.463438E-06
   194   0.510651E+04   0.642403E+00   0.000000E+00  -0.215235E+02   0.609821E-07   0.143044E-03  -0.450099E-06
   195   0.512097E+04   0.636972E+00   0.000000E+00  -0.204765E+02   0.606688E-07   0.141885E-03  -0.436561E-06
   196   0.513487E+04   0.632126E+00   0.000000E+00  -0.194070E+02   0.603581E-07   0.140735E-03  -0.422849E-06
   197   0.514835E+04   0.627909E+00   0.000000E+00  -0.183164E+02   0.600498E-07   0.139596E-03  -0.408991E-06
   198   0.516133E+04   0.624340E+00   0.000000E+00  -0.172039E+02   0.597438E-07   0.138467E-03  -0.395014E-06
   199   0.517383E+04   0.621454E+00   0.000000E+00  -0.160704E+02   0.594403E-07   0.137346E-03  -0.380945E-06
   200   0.518583E+04   0.619279E+00   0.000000E+00  -0.149165E+02   0.591391E-07   0.136234E-03  -0.366810E-06
   201   0.519728E+04   0.617873E+00   0.000000E+00  -0.137415E+02   0.588403E-07   0.135131E-03  -0.352633E-06
   202   0.520824E+04   0.617240E+00   0.000000E+00  -0.125469E+02   0.585437E-07   0.134036E-03  -0.338421E-06
   203   0.521863E+04   0.617439E+00   0.000000E+00  -0.113318E+02   0.582495E-07   0.132949E-03  -0.324175E-06
   204   0.522839E+04   0.618489E+00   0.000000E+00  -0.100993E+02   0.579575E-07   0.131870E-03  -0.309899E-06
   205   0.523765E+04   0.620433E+00   0.000000E+00  -0.884696E+01   0.576678E-07   0.130799E-03  -0.295596E-06
   206   0.524629E+04   0.623306E+00   0.000000E+00  -0.757613E+01   0.573802E-07   0.129736E-03  -0.281268E-06
   207   0.525443E+04   0.627128E+00   0.000000E+00  -0.628719E+01   0.570950E-07   0.128681E-03  -0.266918E-06
   208   0.526186E+04   0.631950E+00   0.000000E+00  -0.498062E+01   0.568118E-07   0.127635E-03  -0.252549E-06
   209   0.526873E+04   0.637791E+00   0.000000E+00  -0.365675E+01   0.565309E-07   0.126596E-03  -0.238163E-06
   210   0.527503E+04   0.644703E+00   0.000000E+00  -0.231644E+01   0.562521E-07   0.125564E-03  -0.223763E-06
   211   0.528077E+04   0.652711E+00   0.000000E+00  -0.959719E+00   0.559755E-07   0.124541E-03  -0.209353E-06
   212   0.528580E+04   0.661845E+00   0.000000E+00   0.412522E+00   0.557010E-07   0.123525E-03  -0.194934E-06
   213   0.529034E+04   0.672146E+00   0.000000E+00   0.180036E+01   0.554286E-07   0.122517E-03  -0.180509E-06
   214   0.529424E+04   0.683605E+00   0.000000E+00   0.320263E+01   0.551582E-07   0.121517E-03  -0.166082E-06
   215   0.529757E+04   0.696414E+00   0.000000E+00   0.461862E+01   0.548900E-07   0.120524E-03  -0.151655E-06
   216   0.530027E+04   0.710384E+00   0.000000E+00   0.604888E+01   0.546237E-07   0.119539E-03  -0.137230E-06
   217   0.530248E+04   0.725670E+00   0.000000E+00   0.749146E+01   0.543595E-07   0.118562E-03  -0.122811E-06
   218   0.530405E+04   0.742269E+00   0.000000E+00   0.894660E+01   0.540973E-07   0.117592E-03  -0.108400E-06
   219   0.530505E+04   0.760180E+00   0.000000E+00   0.104153E+02   0.538371E-07   0.116629E-03  -0.939995E-07
   220   0.530549E+04   0.779549E+00   0.000000E+00   0.118932E+02   0.535789E-07   0.115673E-03  -0.796129E-07
   221   0.530536E+04   0.800300E+00   0.000000E+00   0.133824E+02   0.533226E-07   0.114725E-03  -0.652426E-07
   222   0.530467E+04   0.822579E+00   0.000000E+00   0.148817E+02   0.530682E-07   0.113785E-03  -0.508914E-07
   223   0.530327E+04   0.846310E+00   0.000000E+00   0.163916E+02   0.528158E-07   0.112851E-03  -0.365620E-07
   224   0.530145E+04   0.871491E+00   0.000000E+00   0.179087E+02   0.525652E-07   0.111925E-03  -0.222573E-07
   225   0.529899E+04   0.898269E+00   0.000000E+00   0.194358E+02   0.523165E-07   0.111006E-03  -0.797978E-08
   226   0.529596E+04   0.926641E+00   0.000000E+00   0.209692E+02   0.520697E-07   0.110094E-03   0.626766E-08
   227   0.529230E+04   0.956606E+00   0.000000E+00   0.225106E+02   0.518247E-07   0.109188E-03   0.204823E-07
   228   0.528814E+04   0.988162E+00   0.000000E+00   0.240585E+02   0.515816E-07   0.108290E-03   0.346614E-07
   229   0.528342E+04   0.102138E+01   0.000000E+00   0.256114E+02   0.513402E-07   0.107399E-03   0.488023E-07
   230   0.527806E+04   0.105626E+01   0.000000E+00   0.271700E+02   0.511007E-07   0.106515E-03   0.629022E-07
