#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.485686E-03   0.205574E+08   0.194249E+08   0.764960E+07   0.731797E+07   0.193439E+08   0.203624E+08   0.203673E+08   0.203644E+08  -0.459792E+00   0.985317E+07   0.985287E+07   0.205522E+03
   0.536265E-03   0.205463E+08   0.194142E+08   0.583491E+07   0.551511E+07   0.193153E+08   0.203513E+08   0.203562E+08   0.203528E+08  -0.459513E+00   0.984771E+07   0.984737E+07   0.214153E+03
   0.592113E-03   0.205331E+08   0.194014E+08   0.422744E+07   0.393758E+07   0.192809E+08   0.203381E+08   0.203431E+08   0.203392E+08  -0.459187E+00   0.984122E+07   0.984083E+07   0.220901E+03
   0.653776E-03   0.205175E+08   0.193863E+08   0.292523E+07   0.268340E+07   0.192396E+08   0.203224E+08   0.203275E+08   0.203231E+08  -0.458807E+00   0.983353E+07   0.983309E+07   0.225324E+03
   0.721861E-03   0.204990E+08   0.193686E+08   0.199020E+07   0.181029E+07   0.191902E+08   0.203039E+08   0.203092E+08   0.203044E+08  -0.458367E+00   0.982446E+07   0.982397E+07   0.227057E+03
   0.797036E-03   0.204773E+08   0.193477E+08   0.141884E+07   0.130557E+07   0.191314E+08   0.202821E+08   0.202876E+08   0.202825E+08  -0.457858E+00   0.981382E+07   0.981328E+07   0.225882E+03
   0.880040E-03   0.204518E+08   0.193233E+08   0.112675E+07   0.107174E+07   0.190615E+08   0.202566E+08   0.202623E+08   0.202569E+08  -0.457269E+00   0.980137E+07   0.980079E+07   0.221758E+03
   0.971688E-03   0.204221E+08   0.192949E+08   0.967643E+06   0.949692E+06   0.189787E+08   0.202269E+08   0.202328E+08   0.202271E+08  -0.456588E+00   0.978687E+07   0.978625E+07   0.214820E+03
   0.107288E-02   0.203875E+08   0.192619E+08   0.797838E+06   0.789616E+06   0.188810E+08   0.201922E+08   0.201985E+08   0.201925E+08  -0.455799E+00   0.977004E+07   0.976938E+07   0.205340E+03
   0.118461E-02   0.203473E+08   0.192237E+08   0.561690E+06   0.541839E+06   0.187664E+08   0.201521E+08   0.201587E+08   0.201522E+08  -0.454887E+00   0.975056E+07   0.974987E+07   0.193654E+03
   0.130798E-02   0.203009E+08   0.191796E+08   0.326598E+06   0.289939E+06   0.186327E+08   0.201056E+08   0.201126E+08   0.201057E+08  -0.453833E+00   0.972805E+07   0.972734E+07   0.180139E+03
   0.144419E-02   0.202474E+08   0.191288E+08   0.198915E+06   0.155252E+06   0.184783E+08   0.200521E+08   0.200596E+08   0.200521E+08  -0.452620E+00   0.970212E+07   0.970140E+07   0.165265E+03
   0.159459E-02   0.201858E+08   0.190705E+08   0.174924E+06  -0.244550E+06   0.183010E+08   0.199905E+08   0.199985E+08   0.199905E+08  -0.451225E+00   0.967234E+07   0.967162E+07   0.149670E+03
   0.176065E-02   0.201151E+08   0.190037E+08   0.134331E+06  -0.199883E+06   0.180995E+08   0.199199E+08   0.199285E+08   0.199199E+08  -0.449629E+00   0.963819E+07   0.963748E+07   0.134140E+03
   0.194401E-02   0.200344E+08   0.189273E+08   0.453904E+05  -0.163291E+06   0.178722E+08   0.198391E+08   0.198485E+08   0.198391E+08  -0.447805E+00   0.959917E+07   0.959847E+07   0.119435E+03
   0.214646E-02   0.199423E+08   0.188403E+08   0.184544E+05  -0.133322E+06   0.176183E+08   0.197472E+08   0.197573E+08   0.197472E+08  -0.445727E+00   0.955472E+07   0.955404E+07   0.106140E+03
   0.236999E-02   0.198378E+08   0.187415E+08   0.347899E+05  -0.108784E+06   0.173373E+08   0.196427E+08   0.196537E+08   0.196427E+08  -0.443369E+00   0.950425E+07   0.950358E+07   0.946457E+02
   0.261681E-02   0.197194E+08   0.186295E+08   0.218896E+04  -0.886983E+05   0.170292E+08   0.195246E+08   0.195364E+08   0.195246E+08  -0.440701E+00   0.944716E+07   0.944649E+07   0.850437E+02
   0.288932E-02   0.195860E+08   0.185032E+08   0.272243E+04  -0.722639E+05   0.166937E+08   0.193914E+08   0.194042E+08   0.193914E+08  -0.437693E+00   0.938280E+07   0.938214E+07   0.770078E+02
   0.319022E-02   0.194361E+08   0.183613E+08  -0.290926E+04  -0.588227E+05   0.163304E+08   0.192418E+08   0.192556E+08   0.192418E+08  -0.434316E+00   0.931056E+07   0.930989E+07   0.699918E+02
   0.352245E-02   0.192684E+08   0.182026E+08  -0.823545E+04  -0.478351E+05   0.159386E+08   0.190745E+08   0.190895E+08   0.190745E+08  -0.430541E+00   0.922977E+07   0.922910E+07   0.634584E+02
   0.388929E-02   0.190816E+08   0.180257E+08  -0.137010E+05  -0.388584E+05   0.155169E+08   0.188882E+08   0.189043E+08   0.188882E+08  -0.426335E+00   0.913978E+07   0.913912E+07   0.571721E+02
