#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    90   0.224612E+04  -0.158475E+02   0.391932E-03  -0.158475E+02   0.591909E+00  -0.990181E-06   0.391932E-03  -0.990181E-06   0.109892E-06
    91   0.227325E+04  -0.164459E+02   0.386817E-03  -0.164459E+02   0.606579E+00  -0.109113E-05   0.386817E-03  -0.109113E-05   0.109219E-06
    92   0.230066E+04  -0.170487E+02   0.381848E-03  -0.170487E+02   0.621229E+00  -0.116974E-05   0.381848E-03  -0.116974E-05   0.108549E-06
    93   0.232835E+04  -0.176560E+02   0.377020E-03  -0.176560E+02   0.635849E+00  -0.122764E-05   0.377020E-03  -0.122764E-05   0.107882E-06
    94   0.235610E+04  -0.182664E+02   0.372326E-03  -0.182664E+02   0.650405E+00  -0.126649E-05   0.372326E-03  -0.126649E-05   0.107218E-06
    95   0.238414E+04  -0.188806E+02   0.367762E-03  -0.188806E+02   0.664896E+00  -0.128794E-05   0.367762E-03  -0.128794E-05   0.106557E-06
    96   0.241217E+04  -0.194980E+02   0.363320E-03  -0.194980E+02   0.679309E+00  -0.129362E-05   0.363320E-03  -0.129362E-05   0.105899E-06
    97   0.244063E+04  -0.201179E+02   0.358996E-03  -0.201179E+02   0.693628E+00  -0.128519E-05   0.358996E-03  -0.128519E-05   0.105245E-06
    98   0.246930E+04  -0.207381E+02   0.354784E-03  -0.207381E+02   0.707847E+00  -0.126428E-05   0.354784E-03  -0.126428E-05   0.104594E-06
    99   0.249803E+04  -0.213617E+02   0.350677E-03  -0.213617E+02   0.721930E+00  -0.123255E-05   0.350677E-03  -0.123255E-05   0.103946E-06
   100   0.252706E+04  -0.219841E+02   0.346671E-03  -0.219841E+02   0.735877E+00  -0.119164E-05   0.346671E-03  -0.119164E-05   0.103302E-06
   101   0.255622E+04  -0.226086E+02   0.342758E-03  -0.226086E+02   0.749748E+00  -0.114319E-05   0.342758E-03  -0.114319E-05   0.102661E-06
   102   0.258589E+04  -0.232328E+02   0.338934E-03  -0.232328E+02   0.763395E+00  -0.108885E-05   0.338934E-03  -0.108885E-05   0.102024E-06
   103   0.261549E+04  -0.238575E+02   0.335192E-03  -0.238575E+02   0.776892E+00  -0.103027E-05   0.335192E-03  -0.103027E-05   0.101390E-06
   104   0.264530E+04  -0.244799E+02   0.331527E-03  -0.244799E+02   0.790241E+00  -0.969089E-06   0.331527E-03  -0.969089E-06   0.100761E-06
   105   0.267525E+04  -0.251015E+02   0.327933E-03  -0.251015E+02   0.803368E+00  -0.906955E-06   0.327933E-03  -0.906955E-06   0.100134E-06
   106   0.270542E+04  -0.257216E+02   0.324405E-03  -0.257216E+02   0.816347E+00  -0.845513E-06   0.324405E-03  -0.845513E-06   0.995122E-07
   107   0.273551E+04  -0.263387E+02   0.320935E-03  -0.263387E+02   0.829031E+00  -0.786408E-06   0.320935E-03  -0.786408E-06   0.988938E-07
   108   0.276596E+04  -0.269537E+02   0.317519E-03  -0.269537E+02   0.841494E+00  -0.731287E-06   0.317519E-03  -0.731287E-06   0.982794E-07
   109   0.279657E+04  -0.275651E+02   0.314151E-03  -0.275651E+02   0.853663E+00  -0.681794E-06   0.314151E-03  -0.681794E-06   0.976690E-07
   110   0.282724E+04  -0.281715E+02   0.310824E-03  -0.281715E+02   0.865537E+00  -0.639575E-06   0.310824E-03  -0.639575E-06   0.970627E-07
   111   0.285807E+04  -0.287744E+02   0.307535E-03  -0.287744E+02   0.877193E+00  -0.605897E-06   0.307535E-03  -0.605897E-06   0.964604E-07
   112   0.288903E+04  -0.293731E+02   0.304282E-03  -0.293731E+02   0.888556E+00  -0.580513E-06   0.304282E-03  -0.580513E-06   0.958623E-07
   113   0.292022E+04  -0.299661E+02   0.301067E-03  -0.299661E+02   0.899626E+00  -0.562797E-06   0.301067E-03  -0.562797E-06   0.952683E-07
   114   0.295148E+04  -0.305525E+02   0.297889E-03  -0.305525E+02   0.910330E+00  -0.552125E-06   0.297889E-03  -0.552125E-06   0.946784E-07
   115   0.298295E+04  -0.311325E+02   0.294748E-03  -0.311325E+02   0.920816E+00  -0.547870E-06   0.294748E-03  -0.547870E-06   0.940927E-07
   116   0.301443E+04  -0.317052E+02   0.291646E-03  -0.317052E+02   0.930862E+00  -0.549408E-06   0.291646E-03  -0.549408E-06   0.935111E-07
   117   0.304619E+04  -0.322698E+02   0.288583E-03  -0.322698E+02   0.940543E+00  -0.556112E-06   0.288583E-03  -0.556112E-06   0.929336E-07
   118   0.307809E+04  -0.328272E+02   0.285559E-03  -0.328272E+02   0.950008E+00  -0.567358E-06   0.285559E-03  -0.567358E-06   0.923602E-07
   119   0.310999E+04  -0.333751E+02   0.282574E-03  -0.333751E+02   0.959107E+00  -0.582519E-06   0.282574E-03  -0.582519E-06   0.917909E-07
   120   0.314202E+04  -0.339133E+02   0.279630E-03  -0.339133E+02   0.967694E+00  -0.600972E-06   0.279630E-03  -0.600972E-06   0.912258E-07
   121   0.317405E+04  -0.344421E+02   0.276726E-03  -0.344421E+02   0.976066E+00  -0.622089E-06   0.276726E-03  -0.622089E-06   0.906648E-07
   122   0.320615E+04  -0.349605E+02   0.273863E-03  -0.349605E+02   0.983926E+00  -0.645246E-06   0.273863E-03  -0.645246E-06   0.901079E-07
   123   0.323830E+04  -0.354686E+02   0.271042E-03  -0.354686E+02   0.991348E+00  -0.669817E-06   0.271042E-03  -0.669817E-06   0.895552E-07
   124   0.327052E+04  -0.359633E+02   0.268262E-03  -0.359633E+02   0.998407E+00  -0.695177E-06   0.268262E-03  -0.695177E-06   0.890065E-07
   125   0.330273E+04  -0.364470E+02   0.265525E-03  -0.364470E+02   0.100503E+01  -0.720701E-06   0.265525E-03  -0.720701E-06   0.884620E-07
   126   0.333500E+04  -0.369188E+02   0.262830E-03  -0.369188E+02   0.101129E+01  -0.745762E-06   0.262830E-03  -0.745762E-06   0.879216E-07
   127   0.336726E+04  -0.373780E+02   0.260179E-03  -0.373780E+02   0.101704E+01  -0.769736E-06   0.260179E-03  -0.769736E-06   0.873854E-07
   128   0.339951E+04  -0.378238E+02   0.257571E-03  -0.378238E+02   0.102243E+01  -0.791997E-06   0.257571E-03  -0.791997E-06   0.868532E-07
   129   0.343181E+04  -0.382555E+02   0.255007E-03  -0.382555E+02   0.102731E+01  -0.811919E-06   0.255007E-03  -0.811919E-06   0.863252E-07
   130   0.346410E+04  -0.386722E+02   0.252488E-03  -0.386722E+02   0.103168E+01  -0.828878E-06   0.252488E-03  -0.828878E-06   0.858013E-07
   131   0.349638E+04  -0.390756E+02   0.250014E-03  -0.390756E+02   0.103569E+01  -0.842391E-06   0.250014E-03  -0.842391E-06   0.852815E-07
   132   0.352871E+04  -0.394626E+02   0.247583E-03  -0.394626E+02   0.103919E+01  -0.852550E-06   0.247583E-03  -0.852550E-06   0.847658E-07
   133   0.356096E+04  -0.398356E+02   0.245194E-03  -0.398356E+02   0.104226E+01  -0.859591E-06   0.245194E-03  -0.859591E-06   0.842542E-07
   134   0.359319E+04  -0.401901E+02   0.242846E-03  -0.401901E+02   0.104489E+01  -0.863750E-06   0.242846E-03  -0.863750E-06   0.837466E-07
