#    L    TT             EE             BB             TE          
   161    0.44420E+04    0.95273E+00    0.75501E-02   -0.42058E+02
   162    0.44696E+04    0.94398E+00    0.76542E-02   -0.41800E+02
   163    0.44971E+04    0.93496E+00    0.77593E-02   -0.41516E+02
   164    0.45242E+04    0.92574E+00    0.78653E-02   -0.41208E+02
   165    0.45511E+04    0.91624E+00    0.79722E-02   -0.40874E+02
   166    0.45777E+04    0.90662E+00    0.80800E-02   -0.40514E+02
   167    0.46041E+04    0.89666E+00    0.81888E-02   -0.40130E+02
   168    0.46300E+04    0.88672E+00    0.82985E-02   -0.39719E+02
   169    0.46556E+04    0.87650E+00    0.84091E-02   -0.39282E+02
   170    0.46809E+04    0.86624E+00    0.85207E-02   -0.38819E+02
   171    0.47058E+04    0.85592E+00    0.86331E-02   -0.38330E+02
   172    0.47302E+04    0.84548E+00    0.87465E-02   -0.37814E+02
   173    0.47543E+04    0.83492E+00    0.88608E-02   -0.37273E+02
   174    0.47780E+04    0.82453E+00    0.89760E-02   -0.36706E+02
   175    0.48013E+04    0.81401E+00    0.90921E-02   -0.36112E+02
   176    0.48241E+04    0.80359E+00    0.92091E-02   -0.35492E+02
   177    0.48465E+04    0.79319E+00    0.93269E-02   -0.34847E+02
   178    0.48685E+04    0.78304E+00    0.94457E-02   -0.34175E+02
   179    0.48900E+04    0.77284E+00    0.95654E-02   -0.33477E+02
   180    0.49112E+04    0.76280E+00    0.96859E-02   -0.32754E+02
   181    0.49319E+04    0.75294E+00    0.98073E-02   -0.32006E+02
   182    0.49522E+04    0.74331E+00    0.99295E-02   -0.31232E+02
   183    0.49719E+04    0.73385E+00    0.10053E-01   -0.30433E+02
   184    0.49912E+04    0.72464E+00    0.10177E-01   -0.29608E+02
   185    0.50101E+04    0.71581E+00    0.10301E-01   -0.28760E+02
   186    0.50282E+04    0.70723E+00    0.10427E-01   -0.27885E+02
   187    0.50461E+04    0.69903E+00    0.10553E-01   -0.26986E+02
   188    0.50636E+04    0.69121E+00    0.10681E-01   -0.26064E+02
   189    0.50804E+04    0.68380E+00    0.10809E-01   -0.25116E+02
   190    0.50971E+04    0.67684E+00    0.10937E-01   -0.24146E+02
   191    0.51129E+04    0.67036E+00    0.11067E-01   -0.23151E+02
   192    0.51283E+04    0.66439E+00    0.11197E-01   -0.22133E+02
   193    0.51431E+04    0.65896E+00    0.11328E-01   -0.21093E+02
   194    0.51576E+04    0.65411E+00    0.11460E-01   -0.20028E+02
   195    0.51715E+04    0.64987E+00    0.11593E-01   -0.18943E+02
   196    0.51848E+04    0.64628E+00    0.11726E-01   -0.17835E+02
   197    0.51977E+04    0.64337E+00    0.11860E-01   -0.16706E+02
   198    0.52101E+04    0.64118E+00    0.11995E-01   -0.15555E+02
   199    0.52219E+04    0.63974E+00    0.12130E-01   -0.14384E+02
   200    0.52333E+04    0.63908E+00    0.12267E-01   -0.13193E+02
   201    0.52441E+04    0.63925E+00    0.12403E-01   -0.11980E+02
   202    0.52543E+04    0.64026E+00    0.12541E-01   -0.10749E+02
   203    0.52640E+04    0.64217E+00    0.12679E-01   -0.94973E+01
   204    0.52731E+04    0.64501E+00    0.12818E-01   -0.82287E+01
   205    0.52816E+04    0.64880E+00    0.12957E-01   -0.69407E+01
   206    0.52895E+04    0.65359E+00    0.13097E-01   -0.56346E+01
   207    0.52969E+04    0.65939E+00    0.13238E-01   -0.43110E+01
   208    0.53036E+04    0.66626E+00    0.13379E-01   -0.29701E+01
   209    0.53097E+04    0.67421E+00    0.13521E-01   -0.16125E+01
   210    0.53152E+04    0.68330E+00    0.13664E-01   -0.23905E+00
   211    0.53201E+04    0.69355E+00    0.13807E-01    0.11503E+01
   212    0.53244E+04    0.70500E+00    0.13950E-01    0.25545E+01
   213    0.53281E+04    0.71767E+00    0.14094E-01    0.39737E+01
   214    0.53311E+04    0.73157E+00    0.14239E-01    0.54067E+01
   215    0.53336E+04    0.74688E+00    0.14384E-01    0.68528E+01
   216    0.53355E+04    0.76341E+00    0.14530E-01    0.83124E+01
   217    0.53368E+04    0.78132E+00    0.14676E-01    0.97836E+01
   218    0.53375E+04    0.80061E+00    0.14823E-01    0.11267E+02
   219    0.53376E+04    0.82128E+00    0.14970E-01    0.12762E+02
   220    0.53372E+04    0.84346E+00    0.15117E-01    0.14267E+02
   221    0.53362E+04    0.86709E+00    0.15265E-01    0.15781E+02
   222    0.53346E+04    0.89230E+00    0.15413E-01    0.17305E+02
   223    0.53323E+04    0.91903E+00    0.15562E-01    0.18839E+02
   224    0.53295E+04    0.94727E+00    0.15711E-01    0.20379E+02
   225    0.53261E+04    0.97716E+00    0.15861E-01    0.21928E+02
   226    0.53222E+04    0.10087E+01    0.16010E-01    0.23483E+02
   227    0.53176E+04    0.10419E+01    0.16161E-01    0.25044E+02
   228    0.53125E+04    0.10768E+01    0.16311E-01    0.26611E+02
   229    0.53068E+04    0.11133E+01    0.16462E-01    0.28182E+02
   230    0.53005E+04    0.11516E+01    0.16613E-01    0.29758E+02
   231    0.52935E+04    0.11917E+01    0.16764E-01    0.31337E+02
