#    L    TT             EE             BB             TE             PP             TP             EP          
    88    0.22573E+04    0.56275E+00    0.00000E+00   -0.15051E+02    0.10450E-06    0.45123E-03   -0.82311E-06
    89    0.22852E+04    0.57743E+00    0.00000E+00   -0.15647E+02    0.10383E-06    0.44512E-03   -0.88961E-06
    90    0.23133E+04    0.59212E+00    0.00000E+00   -0.16248E+02    0.10316E-06    0.43916E-03   -0.94724E-06
    91    0.23415E+04    0.60679E+00    0.00000E+00   -0.16853E+02    0.10250E-06    0.43334E-03   -0.99227E-06
    92    0.23700E+04    0.62144E+00    0.00000E+00   -0.17464E+02    0.10183E-06    0.42766E-03   -0.10248E-05
    93    0.23988E+04    0.63606E+00    0.00000E+00   -0.18079E+02    0.10118E-06    0.42210E-03   -0.10457E-05
    94    0.24276E+04    0.65061E+00    0.00000E+00   -0.18698E+02    0.10052E-06    0.41667E-03   -0.10560E-05
    95    0.24567E+04    0.66510E+00    0.00000E+00   -0.19320E+02    0.99868E-07    0.41136E-03   -0.10568E-05
    96    0.24858E+04    0.67951E+00    0.00000E+00   -0.19946E+02    0.99219E-07    0.40617E-03   -0.10490E-05
    97    0.25154E+04    0.69383E+00    0.00000E+00   -0.20574E+02    0.98575E-07    0.40108E-03   -0.10337E-05
    98    0.25451E+04    0.70804E+00    0.00000E+00   -0.21202E+02    0.97933E-07    0.39611E-03   -0.10117E-05
    99    0.25750E+04    0.72212E+00    0.00000E+00   -0.21834E+02    0.97296E-07    0.39125E-03   -0.98406E-06
   100    0.26051E+04    0.73606E+00    0.00000E+00   -0.22465E+02    0.96662E-07    0.38648E-03   -0.95182E-06
   101    0.26353E+04    0.74993E+00    0.00000E+00   -0.23098E+02    0.96032E-07    0.38181E-03   -0.91594E-06
   102    0.26661E+04    0.76357E+00    0.00000E+00   -0.23730E+02    0.95406E-07    0.37723E-03   -0.87739E-06
   103    0.26968E+04    0.77706E+00    0.00000E+00   -0.24363E+02    0.94784E-07    0.37275E-03   -0.83718E-06
   104    0.27277E+04    0.79040E+00    0.00000E+00   -0.24994E+02    0.94166E-07    0.36834E-03   -0.79628E-06
   105    0.27587E+04    0.80352E+00    0.00000E+00   -0.25624E+02    0.93552E-07    0.36402E-03   -0.75567E-06
   106    0.27900E+04    0.81650E+00    0.00000E+00   -0.26252E+02    0.92942E-07    0.35978E-03   -0.71635E-06
   107    0.28212E+04    0.82917E+00    0.00000E+00   -0.26876E+02    0.92336E-07    0.35560E-03   -0.67928E-06
   108    0.28527E+04    0.84163E+00    0.00000E+00   -0.27499E+02    0.91734E-07    0.35150E-03   -0.64546E-06
   109    0.28844E+04    0.85379E+00    0.00000E+00   -0.28118E+02    0.91137E-07    0.34746E-03   -0.61587E-06
   110    0.29162E+04    0.86566E+00    0.00000E+00   -0.28731E+02    0.90543E-07    0.34349E-03   -0.59149E-06
   111    0.29481E+04    0.87731E+00    0.00000E+00   -0.29341E+02    0.89955E-07    0.33957E-03   -0.57306E-06
   112    0.29802E+04    0.88867E+00    0.00000E+00   -0.29946E+02    0.89370E-07    0.33571E-03   -0.56037E-06
   113    0.30124E+04    0.89973E+00    0.00000E+00   -0.30546E+02    0.88790E-07    0.33190E-03   -0.55297E-06
   114    0.30448E+04    0.91043E+00    0.00000E+00   -0.31138E+02    0.88214E-07    0.32815E-03   -0.55042E-06
   115    0.30774E+04    0.92092E+00    0.00000E+00   -0.31724E+02    0.87643E-07    0.32446E-03   -0.55226E-06
   116    0.31099E+04    0.93096E+00    0.00000E+00   -0.32303E+02    0.87075E-07    0.32082E-03   -0.55804E-06
   117    0.31428E+04    0.94064E+00    0.00000E+00   -0.32873E+02    0.86513E-07    0.31724E-03   -0.56732E-06
   118    0.31758E+04    0.95010E+00    0.00000E+00   -0.33435E+02    0.85954E-07    0.31372E-03   -0.57965E-06
   119    0.32088E+04    0.95920E+00    0.00000E+00   -0.33988E+02    0.85400E-07    0.31024E-03   -0.59459E-06
   120    0.32419E+04    0.96778E+00    0.00000E+00   -0.34531E+02    0.84850E-07    0.30683E-03   -0.61167E-06
   121    0.32750E+04    0.97615E+00    0.00000E+00   -0.35064E+02    0.84304E-07    0.30346E-03   -0.63047E-06
   122    0.33082E+04    0.98401E+00    0.00000E+00   -0.35587E+02    0.83762E-07    0.30015E-03   -0.65052E-06
   123    0.33415E+04    0.99143E+00    0.00000E+00   -0.36099E+02    0.83225E-07    0.29690E-03   -0.67138E-06
   124    0.33748E+04    0.99849E+00    0.00000E+00   -0.36597E+02    0.82692E-07    0.29369E-03   -0.69262E-06
   125    0.34081E+04    0.10051E+01    0.00000E+00   -0.37084E+02    0.82163E-07    0.29054E-03   -0.71377E-06
   126    0.34414E+04    0.10114E+01    0.00000E+00   -0.37559E+02    0.81639E-07    0.28744E-03   -0.73439E-06
   127    0.34748E+04    0.10171E+01    0.00000E+00   -0.38021E+02    0.81118E-07    0.28440E-03   -0.75404E-06
   128    0.35081E+04    0.10225E+01    0.00000E+00   -0.38470E+02    0.80602E-07    0.28140E-03   -0.77227E-06
   129    0.35414E+04    0.10274E+01    0.00000E+00   -0.38903E+02    0.80090E-07    0.27846E-03   -0.78863E-06
   130    0.35748E+04    0.10318E+01    0.00000E+00   -0.39322E+02    0.79583E-07    0.27556E-03   -0.80269E-06
   131    0.36081E+04    0.10358E+01    0.00000E+00   -0.39727E+02    0.79079E-07    0.27272E-03   -0.81409E-06
   132    0.36415E+04    0.10393E+01    0.00000E+00   -0.40116E+02    0.78580E-07    0.26993E-03   -0.82291E-06
   133    0.36748E+04    0.10424E+01    0.00000E+00   -0.40490E+02    0.78085E-07    0.26718E-03   -0.82933E-06
   134    0.37081E+04    0.10450E+01    0.00000E+00   -0.40846E+02    0.77594E-07    0.26448E-03   -0.83353E-06
