#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    63    0.16045E+04   -0.28155E+01    0.10437E-04   -0.28155E+01    0.23209E+00   -0.76403E-08    0.10437E-04   -0.76403E-08    0.31536E-10
    64    0.16259E+04   -0.31623E+01    0.10097E-04   -0.31623E+01    0.24309E+00   -0.66611E-08    0.10097E-04   -0.66611E-08    0.30404E-10
    65    0.16472E+04   -0.35250E+01    0.97703E-05   -0.35250E+01    0.25436E+00   -0.60926E-08    0.97703E-05   -0.60926E-08    0.29326E-10
    66    0.16689E+04   -0.39019E+01    0.94567E-05   -0.39019E+01    0.26583E+00   -0.61001E-08    0.94567E-05   -0.61001E-08    0.28297E-10
    67    0.16907E+04   -0.42901E+01    0.91565E-05   -0.42901E+01    0.27749E+00   -0.66056E-08    0.91565E-05   -0.66056E-08    0.27315E-10
    68    0.17130E+04   -0.46876E+01    0.88697E-05   -0.46876E+01    0.28940E+00   -0.74700E-08    0.88697E-05   -0.74700E-08    0.26378E-10
    69    0.17354E+04   -0.50926E+01    0.85963E-05   -0.50926E+01    0.30151E+00   -0.85545E-08    0.85963E-05   -0.85545E-08    0.25482E-10
    70    0.17581E+04   -0.55063E+01    0.83365E-05   -0.55063E+01    0.31386E+00   -0.97200E-08    0.83365E-05   -0.97200E-08    0.24626E-10
    71    0.17810E+04   -0.59311E+01    0.80900E-05   -0.59311E+01    0.32646E+00   -0.10830E-07    0.80900E-05   -0.10830E-07    0.23807E-10
    72    0.18040E+04   -0.63683E+01    0.78559E-05   -0.63683E+01    0.33926E+00   -0.11757E-07    0.78559E-05   -0.11757E-07    0.23023E-10
    73    0.18272E+04   -0.68187E+01    0.76330E-05   -0.68187E+01    0.35224E+00   -0.12377E-07    0.76330E-05   -0.12377E-07    0.22273E-10
    74    0.18506E+04   -0.72814E+01    0.74202E-05   -0.72814E+01    0.36538E+00   -0.12565E-07    0.74202E-05   -0.12565E-07    0.21555E-10
    75    0.18743E+04   -0.77552E+01    0.72163E-05   -0.77552E+01    0.37869E+00   -0.12195E-07    0.72163E-05   -0.12195E-07    0.20866E-10
    76    0.18982E+04   -0.82396E+01    0.70202E-05   -0.82396E+01    0.39218E+00   -0.11203E-07    0.70202E-05   -0.11203E-07    0.20205E-10
    77    0.19225E+04   -0.87343E+01    0.68313E-05   -0.87343E+01    0.40582E+00   -0.97594E-08    0.68313E-05   -0.97594E-08    0.19571E-10
    78    0.19471E+04   -0.92407E+01    0.66491E-05   -0.92407E+01    0.41966E+00   -0.80934E-08    0.66491E-05   -0.80934E-08    0.18963E-10
    79    0.19719E+04   -0.97551E+01    0.64732E-05   -0.97551E+01    0.43362E+00   -0.64353E-08    0.64732E-05   -0.64353E-08    0.18379E-10
    80    0.19970E+04   -0.10279E+02    0.63031E-05   -0.10279E+02    0.44772E+00   -0.50151E-08    0.63031E-05   -0.50151E-08    0.17817E-10
