#    L    TT             EE             TE             PP             TP          
   136    0.36798E+04    0.10487E+01   -0.40984E+02    0.37515E+07    0.44141E+04
   137    0.37121E+04    0.10499E+01   -0.41286E+02    0.37293E+07    0.43711E+04
   138    0.37442E+04    0.10505E+01   -0.41570E+02    0.37072E+07    0.43287E+04
   139    0.37762E+04    0.10508E+01   -0.41834E+02    0.36853E+07    0.42870E+04
   140    0.38082E+04    0.10505E+01   -0.42080E+02    0.36636E+07    0.42460E+04
   141    0.38399E+04    0.10497E+01   -0.42306E+02    0.36420E+07    0.42055E+04
   142    0.38717E+04    0.10485E+01   -0.42511E+02    0.36206E+07    0.41657E+04
   143    0.39034E+04    0.10469E+01   -0.42698E+02    0.35993E+07    0.41264E+04
   144    0.39349E+04    0.10447E+01   -0.42863E+02    0.35783E+07    0.40876E+04
   145    0.39662E+04    0.10422E+01   -0.43008E+02    0.35574E+07    0.40493E+04
   146    0.39976E+04    0.10391E+01   -0.43132E+02    0.35366E+07    0.40115E+04
   147    0.40286E+04    0.10357E+01   -0.43234E+02    0.35160E+07    0.39741E+04
   148    0.40595E+04    0.10317E+01   -0.43314E+02    0.34956E+07    0.39371E+04
   149    0.40903E+04    0.10274E+01   -0.43372E+02    0.34754E+07    0.39006E+04
   150    0.41208E+04    0.10226E+01   -0.43406E+02    0.34553E+07    0.38644E+04
   151    0.41512E+04    0.10175E+01   -0.43418E+02    0.34353E+07    0.38285E+04
   152    0.41813E+04    0.10118E+01   -0.43407E+02    0.34155E+07    0.37930E+04
   153    0.42112E+04    0.10058E+01   -0.43371E+02    0.33959E+07    0.37578E+04
   154    0.42410E+04    0.99949E+00   -0.43312E+02    0.33764E+07    0.37230E+04
   155    0.42705E+04    0.99279E+00   -0.43229E+02    0.33571E+07    0.36885E+04
   156    0.42996E+04    0.98574E+00   -0.43123E+02    0.33379E+07    0.36544E+04
   157    0.43287E+04    0.97834E+00   -0.42991E+02    0.33189E+07    0.36206E+04
   158    0.43575E+04    0.97066E+00   -0.42835E+02    0.33001E+07    0.35872E+04
   159    0.43860E+04    0.96255E+00   -0.42655E+02    0.32813E+07    0.35541E+04
   160    0.44143E+04    0.95416E+00   -0.42448E+02    0.32628E+07    0.35214E+04
   161    0.44423E+04    0.94557E+00   -0.42217E+02    0.32444E+07    0.34890E+04
   162    0.44701E+04    0.93663E+00   -0.41962E+02    0.32261E+07    0.34569E+04
   163    0.44977E+04    0.92741E+00   -0.41681E+02    0.32080E+07    0.34253E+04
   164    0.45248E+04    0.91798E+00   -0.41375E+02    0.31900E+07    0.33940E+04
   165    0.45518E+04    0.90828E+00   -0.41043E+02    0.31722E+07    0.33630E+04
   166    0.45785E+04    0.89844E+00   -0.40685E+02    0.31545E+07    0.33324E+04
   167    0.46050E+04    0.88826E+00   -0.40303E+02    0.31370E+07    0.33022E+04
   168    0.46311E+04    0.87809E+00   -0.39895E+02    0.31196E+07    0.32723E+04
   169    0.46568E+04    0.86764E+00   -0.39460E+02    0.31023E+07    0.32428E+04
   170    0.46822E+04    0.85713E+00   -0.38999E+02    0.30852E+07    0.32137E+04
   171    0.47072E+04    0.84657E+00   -0.38511E+02    0.30682E+07    0.31849E+04
   172    0.47318E+04    0.83588E+00   -0.37998E+02    0.30514E+07    0.31565E+04
   173    0.47560E+04    0.82506E+00   -0.37458E+02    0.30347E+07    0.31285E+04
   174    0.47798E+04    0.81440E+00   -0.36893E+02    0.30181E+07    0.31008E+04
   175    0.48033E+04    0.80361E+00   -0.36301E+02    0.30017E+07    0.30735E+04
   176    0.48262E+04    0.79292E+00   -0.35682E+02    0.29854E+07    0.30466E+04
   177    0.48488E+04    0.78224E+00   -0.35038E+02    0.29693E+07    0.30201E+04
   178    0.48709E+04    0.77180E+00   -0.34368E+02    0.29532E+07    0.29939E+04
   179    0.48925E+04    0.76130E+00   -0.33671E+02    0.29374E+07    0.29681E+04
   180    0.49139E+04    0.75096E+00   -0.32949E+02    0.29216E+07    0.29426E+04
   181    0.49347E+04    0.74078E+00   -0.32202E+02    0.29060E+07    0.29174E+04
   182    0.49551E+04    0.73085E+00   -0.31428E+02    0.28904E+07    0.28925E+04
   183    0.49749E+04    0.72107E+00   -0.30629E+02    0.28751E+07    0.28680E+04
   184    0.49944E+04    0.71152E+00   -0.29805E+02    0.28598E+07    0.28438E+04
   185    0.50135E+04    0.70236E+00   -0.28957E+02    0.28447E+07    0.28198E+04
   186    0.50317E+04    0.69344E+00   -0.28083E+02    0.28297E+07    0.27962E+04
   187    0.50498E+04    0.68491E+00   -0.27184E+02    0.28148E+07    0.27728E+04
   188    0.50673E+04    0.67673E+00   -0.26261E+02    0.28000E+07    0.27497E+04
   189    0.50843E+04    0.66896E+00   -0.25313E+02    0.27854E+07    0.27269E+04
   190    0.51011E+04    0.66164E+00   -0.24343E+02    0.27708E+07    0.27043E+04
   191    0.51170E+04    0.65480E+00   -0.23347E+02    0.27564E+07    0.26820E+04
   192    0.51326E+04    0.64846E+00   -0.22328E+02    0.27421E+07    0.26599E+04
   193    0.51476E+04    0.64265E+00   -0.21287E+02    0.27279E+07    0.26380E+04
   194    0.51622E+04    0.63742E+00   -0.20222E+02    0.27138E+07    0.26163E+04
   195    0.51763E+04    0.63279E+00   -0.19135E+02    0.26999E+07    0.25949E+04
   196    0.51897E+04    0.62880E+00   -0.18025E+02    0.26860E+07    0.25736E+04
   197    0.52028E+04    0.62550E+00   -0.16895E+02    0.26723E+07    0.25525E+04
   198    0.52153E+04    0.62291E+00   -0.15742E+02    0.26586E+07    0.25317E+04
   199    0.52273E+04    0.62106E+00   -0.14569E+02    0.26451E+07    0.25110E+04
   200    0.52388E+04    0.61999E+00   -0.13375E+02    0.26317E+07    0.24904E+04
   201    0.52497E+04    0.61974E+00   -0.12161E+02    0.26184E+07    0.24701E+04
   202    0.52601E+04    0.62034E+00   -0.10927E+02    0.26051E+07    0.24498E+04
   203    0.52700E+04    0.62183E+00   -0.96726E+01    0.25920E+07    0.24298E+04
   204    0.52792E+04    0.62423E+00   -0.84010E+01    0.25790E+07    0.24098E+04
   205    0.52879E+04    0.62760E+00   -0.71098E+01    0.25661E+07    0.23901E+04
