#    L    TT             EE             TE             PP             TP          
    98    0.25451E+04    0.70804E+00   -0.21202E+02    0.44790E+07    0.66808E+04
    99    0.25750E+04    0.72212E+00   -0.21834E+02    0.44508E+07    0.65998E+04
   100    0.26051E+04    0.73606E+00   -0.22465E+02    0.44227E+07    0.65203E+04
   101    0.26353E+04    0.74993E+00   -0.23098E+02    0.43947E+07    0.64425E+04
   102    0.26661E+04    0.76357E+00   -0.23730E+02    0.43669E+07    0.63662E+04
   103    0.26968E+04    0.77706E+00   -0.24363E+02    0.43393E+07    0.62913E+04
   104    0.27277E+04    0.79040E+00   -0.24994E+02    0.43118E+07    0.62179E+04
   105    0.27587E+04    0.80352E+00   -0.25624E+02    0.42844E+07    0.61458E+04
   106    0.27900E+04    0.81650E+00   -0.26252E+02    0.42572E+07    0.60749E+04
   107    0.28212E+04    0.82917E+00   -0.26876E+02    0.42302E+07    0.60053E+04
   108    0.28527E+04    0.84163E+00   -0.27499E+02    0.42034E+07    0.59367E+04
   109    0.28844E+04    0.85379E+00   -0.28118E+02    0.41767E+07    0.58693E+04
   110    0.29162E+04    0.86566E+00   -0.28731E+02    0.41502E+07    0.58028E+04
   111    0.29481E+04    0.87731E+00   -0.29341E+02    0.41239E+07    0.57373E+04
   112    0.29802E+04    0.88867E+00   -0.29946E+02    0.40977E+07    0.56728E+04
   113    0.30124E+04    0.89973E+00   -0.30546E+02    0.40718E+07    0.56091E+04
   114    0.30448E+04    0.91043E+00   -0.31138E+02    0.40460E+07    0.55464E+04
   115    0.30774E+04    0.92092E+00   -0.31724E+02    0.40204E+07    0.54846E+04
   116    0.31099E+04    0.93096E+00   -0.32303E+02    0.39950E+07    0.54238E+04
   117    0.31428E+04    0.94064E+00   -0.32873E+02    0.39697E+07    0.53638E+04
   118    0.31758E+04    0.95010E+00   -0.33435E+02    0.39446E+07    0.53048E+04
   119    0.32088E+04    0.95920E+00   -0.33988E+02    0.39198E+07    0.52466E+04
   120    0.32419E+04    0.96778E+00   -0.34531E+02    0.38951E+07    0.51894E+04
   121    0.32750E+04    0.97615E+00   -0.35064E+02    0.38705E+07    0.51330E+04
   122    0.33082E+04    0.98401E+00   -0.35587E+02    0.38462E+07    0.50775E+04
   123    0.33415E+04    0.99143E+00   -0.36099E+02    0.38220E+07    0.50229E+04
   124    0.33748E+04    0.99849E+00   -0.36597E+02    0.37980E+07    0.49692E+04
   125    0.34081E+04    0.10051E+01   -0.37084E+02    0.37742E+07    0.49164E+04
   126    0.34414E+04    0.10114E+01   -0.37559E+02    0.37506E+07    0.48644E+04
   127    0.34748E+04    0.10171E+01   -0.38021E+02    0.37272E+07    0.48133E+04
   128    0.35081E+04    0.10225E+01   -0.38470E+02    0.37039E+07    0.47630E+04
   129    0.35414E+04    0.10274E+01   -0.38903E+02    0.36808E+07    0.47136E+04
   130    0.35748E+04    0.10318E+01   -0.39322E+02    0.36579E+07    0.46651E+04
   131    0.36081E+04    0.10358E+01   -0.39727E+02    0.36352E+07    0.46173E+04
   132    0.36415E+04    0.10393E+01   -0.40116E+02    0.36127E+07    0.45704E+04
   133    0.36748E+04    0.10424E+01   -0.40490E+02    0.35903E+07    0.45243E+04
   134    0.37081E+04    0.10450E+01   -0.40846E+02    0.35682E+07    0.44790E+04
   135    0.37413E+04    0.10471E+01   -0.41185E+02    0.35462E+07    0.44344E+04
   136    0.37744E+04    0.10487E+01   -0.41505E+02    0.35243E+07    0.43906E+04
   137    0.38075E+04    0.10499E+01   -0.41808E+02    0.35027E+07    0.43474E+04
   138    0.38405E+04    0.10506E+01   -0.42093E+02    0.34812E+07    0.43049E+04
   139    0.38733E+04    0.10510E+01   -0.42358E+02    0.34599E+07    0.42631E+04
   140    0.39061E+04    0.10507E+01   -0.42605E+02    0.34388E+07    0.42219E+04
   141    0.39387E+04    0.10500E+01   -0.42831E+02    0.34178E+07    0.41812E+04
   142    0.39713E+04    0.10488E+01   -0.43037E+02    0.33970E+07    0.41412E+04
   143    0.40038E+04    0.10472E+01   -0.43223E+02    0.33764E+07    0.41017E+04
   144    0.40361E+04    0.10451E+01   -0.43388E+02    0.33559E+07    0.40627E+04
   145    0.40682E+04    0.10426E+01   -0.43532E+02    0.33357E+07    0.40242E+04
   146    0.41004E+04    0.10396E+01   -0.43655E+02    0.33155E+07    0.39862E+04
   147    0.41323E+04    0.10362E+01   -0.43755E+02    0.32956E+07    0.39487E+04
   148    0.41639E+04    0.10323E+01   -0.43834E+02    0.32758E+07    0.39115E+04
   149    0.41955E+04    0.10280E+01   -0.43891E+02    0.32561E+07    0.38748E+04
   150    0.42269E+04    0.10234E+01   -0.43922E+02    0.32367E+07    0.38385E+04
   151    0.42580E+04    0.10183E+01   -0.43932E+02    0.32174E+07    0.38025E+04
   152    0.42889E+04    0.10127E+01   -0.43919E+02    0.31982E+07    0.37669E+04
   153    0.43196E+04    0.10068E+01   -0.43880E+02    0.31792E+07    0.37316E+04
   154    0.43501E+04    0.10005E+01   -0.43818E+02    0.31604E+07    0.36966E+04
   155    0.43804E+04    0.99387E+00   -0.43731E+02    0.31417E+07    0.36621E+04
   156    0.44103E+04    0.98690E+00   -0.43621E+02    0.31232E+07    0.36279E+04
   157    0.44402E+04    0.97957E+00   -0.43485E+02    0.31048E+07    0.35940E+04
   158    0.44697E+04    0.97196E+00   -0.43324E+02    0.30866E+07    0.35605E+04
   159    0.44990E+04    0.96394E+00   -0.43139E+02    0.30685E+07    0.35274E+04
   160    0.45280E+04    0.95564E+00   -0.42927E+02    0.30506E+07    0.34946E+04
   161    0.45568E+04    0.94713E+00   -0.42691E+02    0.30328E+07    0.34622E+04
   162    0.45853E+04    0.93828E+00   -0.42430E+02    0.30152E+07    0.34302E+04
   163    0.46136E+04    0.92915E+00   -0.42142E+02    0.29977E+07    0.33985E+04
   164    0.46415E+04    0.91982E+00   -0.41830E+02    0.29804E+07    0.33672E+04
   165    0.46692E+04    0.91022E+00   -0.41491E+02    0.29632E+07    0.33362E+04
   166    0.46966E+04    0.90048E+00   -0.41126E+02    0.29461E+07    0.33057E+04
   167    0.47238E+04    0.89040E+00   -0.40737E+02    0.29292E+07    0.32755E+04
   168    0.47506E+04    0.88034E+00   -0.40320E+02    0.29125E+07    0.32456E+04
   169    0.47770E+04    0.87000E+00   -0.39877E+02    0.28959E+07    0.32162E+04
   170    0.48031E+04    0.85961E+00   -0.39408E+02    0.28794E+07    0.31871E+04
