#    L    TT             EE             BB             TE          
   122    0.33103E+04    0.98683E+00    0.39163E-02   -0.35536E+02
   123    0.33435E+04    0.99430E+00    0.39835E-02   -0.36046E+02
   124    0.33768E+04    0.10014E+01    0.40514E-02   -0.36542E+02
   125    0.34101E+04    0.10081E+01    0.41199E-02   -0.37027E+02
   126    0.34434E+04    0.10144E+01    0.41892E-02   -0.37499E+02
   127    0.34767E+04    0.10202E+01    0.42591E-02   -0.37959E+02
   128    0.35100E+04    0.10256E+01    0.43298E-02   -0.38405E+02
   129    0.35433E+04    0.10306E+01    0.44012E-02   -0.38836E+02
   130    0.35766E+04    0.10350E+01    0.44733E-02   -0.39253E+02
   131    0.36099E+04    0.10391E+01    0.45461E-02   -0.39655E+02
   132    0.36433E+04    0.10427E+01    0.46197E-02   -0.40041E+02
   133    0.36765E+04    0.10458E+01    0.46940E-02   -0.40413E+02
   134    0.37097E+04    0.10485E+01    0.47691E-02   -0.40766E+02
   135    0.37430E+04    0.10507E+01    0.48449E-02   -0.41103E+02
   136    0.37760E+04    0.10524E+01    0.49214E-02   -0.41420E+02
   137    0.38090E+04    0.10537E+01    0.49988E-02   -0.41721E+02
   138    0.38420E+04    0.10545E+01    0.50769E-02   -0.42002E+02
   139    0.38747E+04    0.10549E+01    0.51558E-02   -0.42265E+02
   140    0.39075E+04    0.10547E+01    0.52354E-02   -0.42509E+02
   141    0.39400E+04    0.10541E+01    0.53159E-02   -0.42732E+02
   142    0.39725E+04    0.10530E+01    0.53971E-02   -0.42935E+02
   143    0.40050E+04    0.10515E+01    0.54792E-02   -0.43118E+02
   144    0.40372E+04    0.10495E+01    0.55621E-02   -0.43281E+02
   145    0.40693E+04    0.10471E+01    0.56458E-02   -0.43422E+02
   146    0.41014E+04    0.10442E+01    0.57303E-02   -0.43542E+02
   147    0.41332E+04    0.10409E+01    0.58156E-02   -0.43640E+02
   148    0.41648E+04    0.10372E+01    0.59018E-02   -0.43716E+02
   149    0.41963E+04    0.10330E+01    0.59888E-02   -0.43769E+02
   150    0.42276E+04    0.10285E+01    0.60767E-02   -0.43798E+02
   151    0.42586E+04    0.10235E+01    0.61654E-02   -0.43805E+02
   152    0.42894E+04    0.10181E+01    0.62550E-02   -0.43789E+02
   153    0.43201E+04    0.10123E+01    0.63454E-02   -0.43747E+02
   154    0.43505E+04    0.10061E+01    0.64367E-02   -0.43682E+02
   155    0.43807E+04    0.99965E+00    0.65289E-02   -0.43593E+02
   156    0.44105E+04    0.99283E+00    0.66220E-02   -0.43480E+02
   157    0.44403E+04    0.98566E+00    0.67159E-02   -0.43342E+02
   158    0.44697E+04    0.97822E+00    0.68107E-02   -0.43178E+02
   159    0.44989E+04    0.97036E+00    0.69064E-02   -0.42990E+02
   160    0.45278E+04    0.96223E+00    0.70030E-02   -0.42776E+02
   161    0.45565E+04    0.95391E+00    0.71004E-02   -0.42537E+02
   162    0.45849E+04    0.94524E+00    0.71988E-02   -0.42274E+02
   163    0.46131E+04    0.93630E+00    0.72980E-02   -0.41984E+02
   164    0.46409E+04    0.92717E+00    0.73981E-02   -0.41669E+02
   165    0.46685E+04    0.91776E+00    0.74991E-02   -0.41328E+02
   166    0.46958E+04    0.90824E+00    0.76010E-02   -0.40961E+02
   167    0.47229E+04    0.89837E+00    0.77038E-02   -0.40569E+02
   168    0.47496E+04    0.88852E+00    0.78075E-02   -0.40151E+02
   169    0.47759E+04    0.87841E+00    0.79121E-02   -0.39705E+02
   170    0.48019E+04    0.86825E+00    0.80175E-02   -0.39234E+02
   171    0.48274E+04    0.85804E+00    0.81238E-02   -0.38736E+02
   172    0.48526E+04    0.84772E+00    0.82310E-02   -0.38211E+02
   173    0.48773E+04    0.83727E+00    0.83391E-02   -0.37660E+02
   174    0.49017E+04    0.82699E+00    0.84480E-02   -0.37083E+02
   175    0.49257E+04    0.81660E+00    0.85578E-02   -0.36479E+02
   176    0.49492E+04    0.80631E+00    0.86685E-02   -0.35848E+02
   177    0.49723E+04    0.79604E+00    0.87800E-02   -0.35192E+02
   178    0.49949E+04    0.78602E+00    0.88923E-02   -0.34509E+02
   179    0.50170E+04    0.77596E+00    0.90055E-02   -0.33799E+02
   180    0.50389E+04    0.76606E+00    0.91196E-02   -0.33064E+02
   181    0.50602E+04    0.75634E+00    0.92344E-02   -0.32303E+02
   182    0.50811E+04    0.74687E+00    0.93501E-02   -0.31516E+02
   183    0.51014E+04    0.73757E+00    0.94666E-02   -0.30703E+02
   184    0.51214E+04    0.72852E+00    0.95839E-02   -0.29865E+02
   185    0.51409E+04    0.71986E+00    0.97021E-02   -0.29002E+02
   186    0.51596E+04    0.71146E+00    0.98210E-02   -0.28113E+02
   187    0.51781E+04    0.70345E+00    0.99407E-02   -0.27199E+02
   188    0.51961E+04    0.69581E+00    0.10061E-01   -0.26261E+02
   189    0.52135E+04    0.68859E+00    0.10182E-01   -0.25297E+02
   190    0.52307E+04    0.68184E+00    0.10304E-01   -0.24311E+02
   191    0.52471E+04    0.67557E+00    0.10427E-01   -0.23299E+02
   192    0.52631E+04    0.66981E+00    0.10551E-01   -0.22263E+02
   193    0.52785E+04    0.66461E+00    0.10675E-01   -0.21206E+02
   194    0.52935E+04    0.65999E+00    0.10800E-01   -0.20123E+02
   195    0.53080E+04    0.65599E+00    0.10925E-01   -0.19019E+02
   196    0.53218E+04    0.65264E+00    0.11052E-01   -0.17892E+02
   197    0.53352E+04    0.64999E+00    0.11179E-01   -0.16743E+02
   198    0.53481E+04    0.64807E+00    0.11307E-01   -0.15573E+02
   199    0.53605E+04    0.64690E+00    0.11435E-01   -0.14381E+02
   200    0.53723E+04    0.64652E+00    0.11564E-01   -0.13169E+02
   201    0.53836E+04    0.64698E+00    0.11694E-01   -0.11935E+02
   202    0.53944E+04    0.64830E+00    0.11824E-01   -0.10681E+02
   203    0.54045E+04    0.65053E+00    0.11955E-01   -0.94074E+01
   204    0.54141E+04    0.65368E+00    0.12087E-01   -0.81159E+01
   205    0.54231E+04    0.65781E+00    0.12219E-01   -0.68046E+01
